#Format:      
#Parameter    MagSys|Instrument|Band                    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_R    6552.210187122715    All      0.8328174036679705         -0.03132018306071238       0.04149583428197955       -0.27962627277916996       
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_B    4382.377742793078    All      -0.6691194220494341        0.5620326535586084         -0.1626510714058297       0.3937683644382553         
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_U    3594.398003872907    All      -0.33139022177803434       0.1655389473870894         -0.042854647656972805     0.15995377278049464        
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_V    5482.585117324452    All      0.9049649732833689         0.33198045215363514        0.10517180987656069       -0.18194657432464004       
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_I    7962.234521348974    All      0.2582404731651087         -0.02952906993667348       0.05928329194276137       -0.09109046648391655       
Check         All|All|All                               All                  All      0.9955132062889795         0.9987028001019471         0.00044521703849910443    0.0010588236310234145      
Lambda        Linear_AB11_off|Krisciunas|Bessell12_R    6552.210187122715    All      -0.0002953924231566174     -1.3136375780772025e-05    -0.0005133606647314349    6.903115189173901e-05      
Lambda        Linear_AB11_off|Krisciunas|Bessell12_B    4382.377742793078    All      -0.00023395985211251434    -1.0885338551022147e-05    -0.0009550424671792685    3.0043549041671794e-05     
Lambda        Linear_AB11_off|Krisciunas|Bessell12_U    3594.398003872907    All      -0.0006860356219366697     0.00024398165881540023     -0.0004989169859454659    0.0002806728513607626      
Lambda        Linear_AB11_off|Krisciunas|Bessell12_V    5482.585117324452    All      -3.524001289883125e-05     -6.554430630147468e-05     -0.0009860802973031093    -5.387534010852424e-05     
Lambda        Linear_AB11_off|Krisciunas|Bessell12_I    7962.234521348974    All      5.3340038347304825e-05     -1.7930660409933518e-06    0.00010570579733633334    -1.3241501678573455e-05    
MWEBV         All|All|All                               All                  All      -1.0694011649809605        -4.007157175738785         0.01477447594691647       -0.9562644650010086        
Redshift      All|All|All                               All                  All      5.19909996173054           -0.32080420965514556       1.8350067236238197        -1.7161264658792255        
