#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|CNIa02|SDSS_i                      7384.913054689114     All      0.4514062098466806         -0.06691239298604046       0.1678590285495732         -0.1613426436226155       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4317.1662968608325    All      -0.6432572928892326        0.33506340537066137        -0.32021884258723443       0.3043813409854863        
Zeropoint     AB|CNIa02|SDSS_g                      4660.417215362555     All      -0.6854511947080256        0.6634743431906287         0.2864648044651027         0.4521730345636396        
Zeropoint     AB|CNIa02|SDSS_r                      6089.77209973384      All      1.1935433664731823         -0.12768974785188902       -0.13917307942965068       -0.4365797479501412       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5401.002167626584     All      0.6828152538657554         0.1930017953409191         0.003580134330105508       -0.1593885928734892       
Check         All|All|All                           All                   All      0.9990563425883597         0.9969374030642797         -0.0014879546721036948     -0.0007566088971199536    
Lambda        AB|CNIa02|SDSS_i                      7384.913054689114     All      -6.131980121228785e-05     -1.3072130647382878e-06    -0.00011719166884466177    1.4318348376492151e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4317.1662968608325    All      -0.00026821746171253903    7.039797807528821e-05      -0.0005661111213089722     8.503524956628603e-05     
Lambda        AB|CNIa02|SDSS_g                      4660.417215362555     All      -6.648527888542433e-05     -0.00010982521695761439    -0.0008167770054549044     -5.056625010407556e-05    
Lambda        AB|CNIa02|SDSS_r                      6089.77209973384      All      -4.627536015082426e-05     -1.6402548481916223e-05    -0.00020761816344617838    4.655124680070346e-07     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5401.002167626584     All      6.257562225202282e-05      1.5334006934087183e-06     -0.00044322809480211293    -3.966269398908912e-05    
MWEBV         All|All|All                           All                   All      -0.8765015888310366        -4.038906782913365         0.02443310721670324        -1.0290090743953226       
Redshift      All|All|All                           All                   All      3.7243256090337096         0.20378270485963412        0.10294688054077901        -1.1421625998501592       
