#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_i                      7384.913054689114     All      0.5227435995115083         -0.062357406613422484      0.44646447501837105        -0.17066298796332702       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4317.1662968608325    All      -0.6754953094998747        0.3895927822114231         -0.20314387665154587       0.33786885361890423        
Zeropoint     AB|CNIa02|SDSS_g                      4660.417215362555     All      -0.6253429205317466        0.6075315530411629         0.2504466903149982         0.41276406193682874        
Zeropoint     AB|CNIa02|SDSS_r                      6089.77209973384      All      1.1517285292444113         -0.17317430131189582       -0.515741186530283         -0.4545796003618749        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5401.002167626584     All      0.5688050698350742         0.264941395283369          -0.06477574075629544       -0.10186903942518491       
Check         All|All|All                           All                   All      0.9424389685593727         1.0265340226106368         -0.08674963860475504       0.023521287805346153       
Lambda        AB|CNIa02|SDSS_i                      7384.913054689114     All      -0.00010526231443713847    -1.0695040806749627e-06    -0.00020881911064290606    2.462038833823628e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4317.1662968608325    All      -0.00030956938512053983    8.662531145308133e-05      -0.0005709922040722621     0.0001035728874969776      
Lambda        AB|CNIa02|SDSS_g                      4660.417215362555     All      2.499810486986375e-05      -0.00011935553401629387    -0.0007488359842231948     -8.043783997548382e-05     
Lambda        AB|CNIa02|SDSS_r                      6089.77209973384      All      -8.34304690529226e-05      -3.8357409571192735e-05    -0.00035202128571584464    -1.0273148734009339e-06    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5401.002167626584     All      -3.246464186749873e-05     4.9693969249470574e-05     -0.000438657048784165      7.186513170533776e-06      
MWEBV         All|All|All                           All                   All      -0.8672350126130959        -4.035809242982502         0.08426445568443519        -1.0283485341826186        
Redshift      All|All|All                           All                   All      4.276517904014838          0.005894342953105536       0.0779619135357068         -1.3876035110447364        
