#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_u            3176.990967591579    All      -0.039483542510344194      0.06260538878706257       0.7590175290284495        0.06712518982876364        
Zeropoint     AB|SDSS|SDSS_r            5458.844022260586    All      -0.23309278945840295       0.03566018333955867       -10.902878222812884       -0.39900369502521293       
Zeropoint     AB|SDSS|SDSS_i            6619.802485755707    All      1.7018254795037009         0.16555668039472948       7.934618948432037         -0.14632768833022225       
Zeropoint     AB|SDSS|SDSS_z            7870.393337747508    All      0.15468850050392613        0.003701477893258698      0.4920029276004545        -0.027225609618698743      
Zeropoint     AB|SDSS|SDSS_g            4177.576802658035    All      -0.5971565842433487        0.7296364494713714        1.700398618741561         0.5080611219812098         
Check         All|All|All               All                  All      0.9867810637955312         0.9971601798859808        -0.016840199010381696     0.0026293188358395003      
Lambda        AB|SDSS|SDSS_u            3176.990967591579    All      1.4976138340469709e-05     8.328753611679215e-05     0.0014380049799534572     8.642282737131795e-05      
Lambda        AB|SDSS|SDSS_r            5458.844022260586    All      -5.640858765719903e-05     6.400817011169304e-06     -0.002645214421061411     -9.758468111304397e-05     
Lambda        AB|SDSS|SDSS_i            6619.802485755707    All      -0.00039396728603509297    -4.169258790631711e-05    -0.002070899952236816     2.2332705104994143e-05     
Lambda        AB|SDSS|SDSS_z            7870.393337747508    All      -1.696553575651407e-05     -4.614226205796635e-06    -0.0001753805869154877    -3.8032022334541954e-06    
Lambda        AB|SDSS|SDSS_g            4177.576802658035    All      -0.0005351417990524111     0.0005246156158848818     5.724578942177476e-05     0.0003477524716899271      
MWEBV         All|All|All               All                  All      -0.6132509023040233        -3.430891940995906        1.6057499518777885        -0.8461411385291939        
Redshift      All|All|All               All                  All      1.8509040423639052         -0.9878438668636136       2.623483979158925         -0.8075995453038262        
