#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_u            3176.990967591579    All      -0.02794337979376396       0.0860735811787805        1.144878963086323         0.08822976511901327       
Zeropoint     AB|SDSS|SDSS_r            5458.844022260586    All      -0.35929760289491486       0.051265434621683426      -12.876829655765553       -0.44089987795546665      
Zeropoint     AB|SDSS|SDSS_i            6619.802485755707    All      1.7433842159087183         0.2027219232431321        9.394381630707475         -0.08261628966080205      
Zeropoint     AB|SDSS|SDSS_z            7870.393337747508    All      0.14584969877328352        0.005913287489534014      0.5300628946554439        -0.02192762042864941      
Zeropoint     AB|SDSS|SDSS_g            4177.576802658035    All      -0.49758001529666573       0.6569741910094962        1.922898876781889         0.46188643401474944       
Check         All|All|All               All                  All      1.0044129166966573         1.0029484175426262        0.11539270946557711       0.004672411088844586      
Lambda        AB|SDSS|SDSS_u            3176.990967591579    All      -1.766218708059271e-05     5.505225295574118e-05     0.0007259498832046699     5.608129447406308e-05     
Lambda        AB|SDSS|SDSS_r            5458.844022260586    All      -2.5345474308486335e-05    1.6426701436878882e-05    -0.002255262381716101     -8.703543014649532e-05    
Lambda        AB|SDSS|SDSS_i            6619.802485755707    All      -0.0006396099140728869     -7.520907359213211e-05    -0.0034837836881873685    2.837865641664015e-05     
Lambda        AB|SDSS|SDSS_z            7870.393337747508    All      4.8971210864826476e-06     7.03696892104618e-07      3.21526672079632e-05      6.888964596512349e-08     
Lambda        AB|SDSS|SDSS_g            4177.576802658035    All      -0.0003544971298198625     0.00028151753918712383    -0.0005982401902176595    0.0001804741898850707     
MWEBV         All|All|All               All                  All      -0.6753010386410274        -3.387144602562131        1.819400453761012         -0.802145179725031        
Redshift      All|All|All               All                  All      4.032486512532767          -0.0037374818306901147    15.829789807643762        -0.6083201272691406       
