#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|CNIa02|SDSS_g                      4647.010535701923     All      -0.4023740145770709        0.4478983474364817         0.48671560655706436       0.2986815635543552         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5385.465038103275     All      0.8376795056699164         0.2403772077076205         -0.21812440637301034      -0.2042948995555044        
Zeropoint     AB|CNIa02|SDSS_i                      7363.668784257817     All      0.5618556564478915         -0.059418549755907435      0.38456795363617235       -0.18520794676079588       
Zeropoint     AB|CNIa02|SDSS_r                      6072.253577255155     All      0.8751263373248628         -0.08287598199538948       -0.19577663616523466      -0.32078948484524084       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4304.7470513493145    All      -0.8715484434932782        0.4508402271075518         -0.45412569613074716      0.41047995121528263        
Check         All|All|All                           All                   All      1.0007390413723216         0.9968212505003571         0.0032568215242445575     -0.0011308163919032665     
Lambda        AB|CNIa02|SDSS_g                      4647.010535701923     All      0.0001930233526004219      -0.000152799010438482      -0.0002580169254035414    -0.00012415983121146225    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5385.465038103275     All      -0.00013487720173556593    -3.339276056415649e-05     -0.0010338039197986832    -1.3077099622478886e-05    
Lambda        AB|CNIa02|SDSS_i                      7363.668784257817     All      -0.0001171754198361928     -1.4924097981188828e-05    -0.0003399928554160097    1.8134299890231483e-05     
Lambda        AB|CNIa02|SDSS_r                      6072.253577255155     All      -0.00016816965808617333    -2.216607060399411e-05     -0.0003258955503429176    3.301495019061873e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4304.7470513493145    All      -0.0002603437237677734     9.99608131130372e-06       -0.0007226186656888494    5.581141624746084e-05      
MWEBV         All|All|All                           All                   All      -0.8531579030038587        -4.0207995773339           0.045997192406255216      -1.029752462205337         
Redshift      All|All|All                           All                   All      4.008312287003252          0.7709088641477457         2.421584491503337         -0.9464646083125569        
