#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_g                      4647.010535701923     All      -0.47429750675183535       0.5037452329649916         0.44677615601285997        0.3385182648503547         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5385.465038103275     All      0.6293077667681328         0.2867986601681416         -0.22427695900660957       -0.12157493484817482       
Zeropoint     AB|CNIa02|SDSS_i                      7363.668784257817     All      0.6989214407164536         -0.1006140953314194        0.38068874568329825        -0.24344663774894498       
Zeropoint     AB|CNIa02|SDSS_r                      6072.253577255155     All      0.8521300508592039         -0.10287300671567579       -0.327985726768258         -0.32571241112121535       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4304.7470513493145    All      -0.7071507988433184        0.4100059226025188         -0.27401585153059854       0.35166662859483555        
Check         All|All|All                           All                   All      0.9989109527486365         0.9970627136885568         0.0011863643906921406      -0.0005490902731449254     
Lambda        AB|CNIa02|SDSS_g                      4647.010535701923     All      1.2609886871670253e-05     -3.9863800327186475e-05    -0.00013219901975685243    -2.2991841337311245e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5385.465038103275     All      1.1656714316625054e-05     -2.0501520413898955e-05    -0.0009381422577837194     -5.2339975259574455e-05    
Lambda        AB|CNIa02|SDSS_i                      7363.668784257817     All      -9.368175376943874e-05     -2.2349268865243975e-05    -0.0003603747114402807     7.15346887194668e-06       
Lambda        AB|CNIa02|SDSS_r                      6072.253577255155     All      -5.2881196428927815e-05    -1.4455723231284175e-05    -0.00020037693318437406    3.574538550939541e-06      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4304.7470513493145    All      -0.00024101364052182044    5.675711372936789e-05      -0.000536912358034542      7.303379843663064e-05      
MWEBV         All|All|All                           All                   All      -0.8307755948718483        -4.027693588697456         0.05041989201321061        -1.0390913578566119        
Redshift      All|All|All                           All                   All      3.718294660928419          -0.0436958246639918        1.8297754196280096         -1.143749593844747         
