#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4552.83500096756     All      -2.327426981845272         1.171040624749331          0.22945056641433537       1.1498053205841587         
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5452.024415291873    All      3.3247241964631153         -0.16775396536434783       -0.22341973555091155      -1.147585233093791         
Check         All|All|All                            All                  All      0.9972972146178433         1.0032866593849832         0.0060308308634238195     0.002220087490367728       
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4552.83500096756     All      -0.00023066119616733005    -0.0002202224220772985     -0.002190153693949132     -9.433624820227998e-05     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5452.024415291873    All      0.0005444539292618906      -0.00014806136562109094    -0.001437640124170119     -0.00028973029051931204    
MWEBV         All|All|All                            All                  All      -0.18142981085160326       -2.4944064965609414        -0.0018644008234258713    -0.7534958008541197        
Redshift      All|All|All                            All                  All      -3.214500231228838         0.9900872997366861         -3.4101601218724076       1.2173927017162882         
