#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4552.83500096756     All      -2.4516162575343          1.1065555148544348         -0.5236918876462598       1.1356436429254715         
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5452.024415291873    All      3.4483027076721826        -0.10411839917132681       0.5237320008456549        -1.133768671898259         
Check         All|All|All                            All                  All      0.9966864501378825        1.002437115683108          4.011319939500879e-05     0.0018749710272125686      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4552.83500096756     All      -0.0003981608716642166    -0.00015516087380733514    -0.0020812693916750424    -1.3724400261433004e-05    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5452.024415291873    All      0.0007059552953780528     -0.0001259003613834289     -0.0012545289429089898    -0.0003269466195244343     
MWEBV         All|All|All                            All                  All      -0.18301648140297955      -2.494435382048721         -0.002596504606478635     -0.7530210494387065        
Redshift      All|All|All                            All                  All      -2.7121208357357913       0.9203445413231037         -2.3355315109508052       1.078989433243855          
