#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5022.866322148621     All      3.877960074396757          0.2891924181476213        0.39082714290111975       -1.1515388722057598       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4194.4569309921535    All      -2.881834553425046         0.7131748886195055        -0.3919381272433457       1.1535224490593528        
Check         All|All|All                            All                   All      0.9961255209717115         1.0023673067671268        -0.0011109843422259513    0.001983576853592961      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5022.866322148621     All      -0.00048065126563123014    -7.178772446898404e-05    -0.0019803956418359544    4.4804344700560365e-05    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4194.4569309921535    All      -0.000907912078704197      0.00014997792122933357    -0.0014309401990203064    0.00028073328751392464    
MWEBV         All|All|All                            All                   All      -0.032529109233800924      -2.1908297700107937       0.007283958172043782      -0.7027044815985091       
Redshift      All|All|All                            All                   All      7.956641743369474          0.803114905484037         7.260659738242389         -2.006129138028088        
