#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5022.866322148621     All      3.745319024496708         0.39135544443507086        0.5179014660315451        -1.0693847163567805        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4194.4569309921535    All      -2.7499557756259008       0.609754733121548          -0.5197500747194272       1.0711741851826995         
Check         All|All|All                            All                   All      0.9953632488708077        1.001110177556619          -0.0018486086878821695    0.0017894688259190161      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5022.866322148621     All      -0.0012803959124894839    -0.00014845480281454906    -0.001173094508830752     0.00031636063907658686     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4194.4569309921535    All      0.0001834574438361628     -0.0001554768444007806     -0.0014783689794667567    -0.00017637486593612023    
MWEBV         All|All|All                            All                   All      -0.046872986066003985     -2.1855508971530213        0.01970691849080275       -0.6957583267927614        
Redshift      All|All|All                            All                   All      6.551380682984825         2.306557428423872          6.009038442824766         -1.1145227973595961        
