#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g              4746.440471467319    All      -0.16143894314747853       0.44852191983935086       1.5345096985441509         0.26716244028904823        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u              3550.790241012916    All      -0.2512542880201777        0.10259255940745504       -0.06598014795883289       0.11231516845513767        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5307.694442240725    All      0.4551576225512968         0.17920193979836796       0.5680303894857408         -0.06453925713139491       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i              7512.035713085025    All      0.21475918159614732        -0.02276784827710543      0.09541045053858           -0.0731126378337027        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_2    7539.79986828947     All      0.14323991612893466        -0.012549200529488047     0.13098299463464302        -0.04490047113794027       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_2     5362.302712611105    All      0.07803742159279575        -0.013879970361951877     -1.9389049004093883        -0.1164649391891967        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_2     4383.131524755545    All      -0.3256822376025321        0.050541884809351956      -1.6811510530362228        0.04752652382603306        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B              4344.94050119987     All      -0.24364009859757585       0.29905064869568676       1.0725635641420928         0.22463581615007472        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r              6144.044926465553    All      0.7197584818749195         -0.01566016636118661      0.3210796570743524         -0.22522173785567423       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_2    6153.396187080289    All      0.3678944375975227         -0.017371955513567627     -0.014223653453870888      -0.1261286754509025        
Check         All|All|All                                All                  All      0.9968314939738527         0.997679811506913         0.022316999561244888       0.001272230121482365       
Lambda        Linear_AB11_off|SWOPE|SWOPE_g              4746.440471467319    All      4.789002652666699e-06      -4.625287887222951e-05    -0.00020222917378224652    -2.565057926158436e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u              3550.790241012916    All      -0.00031851408874057326    0.00012181015882477167    -0.00021926632156483604    0.00013364324479184442     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5307.694442240725    All      0.00010943123870666387     5.632023184838211e-05     0.0002838154599583377      -4.634621773286479e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i              7512.035713085025    All      -5.8483167815638714e-05    7.806799118623105e-06     -1.6228307229396677e-06    2.1520403623849865e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_2    7539.79986828947     All      -4.313849187517153e-05     5.614079546383578e-06     -5.156414713697238e-06     1.565020931784319e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_2     5362.302712611105    All      1.2872875377510979e-05     -1.988452271784456e-05    -0.0007043226723985518     -4.2100848278161933e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_2     4383.131524755545    All      -0.00013337184677121534    -3.821208343883347e-05    -0.0014022195840367746     -3.157795429337338e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B              4344.94050119987     All      -3.15065666691271e-05      3.8417011523615444e-05    0.00013282655164667634     2.870384878447466e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r              6144.044926465553    All      -0.0001668652807679017     -2.250112384777183e-06    -0.0002079565777968321     4.4340429063504404e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_2    6153.396187080289    All      -4.6433597428370224e-05    2.8406849273754e-06       5.674292922734883e-05      1.8582431159574077e-05     
MWEBV         All|All|All                                All                  All      -1.0316744685179167        -3.9764475097467056       0.015597807115341755       -0.9585134011902238        
Redshift      All|All|All                                All                  All      3.2321483373015414         0.4499965861615607        -0.9581258993111796        -0.9489951137933591        
