#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|MEGACAMPSF|i           6373.93960255085      All      1.1518742746306354        -0.10463427059566044       -0.21200013300278694       -0.41874676333800576      
Zeropoint     AB|MEGACAMPSF|z           7337.301383531063     All      0.44698706924368026       -0.0849574288317001        0.42626702539459166        -0.15424948390759652      
Zeropoint     AB|MEGACAMPSF|g           4065.2123958165994    All      -0.7893166885262783       0.5318099030889201         0.07177499370133043        0.433537382981199         
Zeropoint     AB|MEGACAMPSF|r           5202.916547196886     All      0.1849902862646523        0.6571754154824916         -0.2849978963117252        0.14108808385118338       
Check         All|All|All               All                   All      0.9945349416126894        0.9993936191440511         0.0010439897814099597      0.001629219586780084      
Lambda        AB|MEGACAMPSF|i           6373.93960255085      All      -0.000405120217921195     -1.2355692596320333e-05    -0.000934301765537978      8.624273076422531e-05     
Lambda        AB|MEGACAMPSF|z           7337.301383531063     All      -7.30884254830158e-05     1.1264087676109946e-05     -0.0003097455040973913     1.365386941295868e-05     
Lambda        AB|MEGACAMPSF|g           4065.2123958165994    All      -0.0006815290366077494    0.0003746590849609512      -0.00023090971738801199    0.00033373077859496516    
Lambda        AB|MEGACAMPSF|r           5202.916547196886     All      -0.0002061735037707351    0.0001716298869872559      -0.0017285980589712298     4.592360152408225e-05     
MWEBV         All|All|All               All                   All      -0.516142439752755        -3.2305002336219246        0.03849125447888595        -0.8824379452786848       
Redshift      All|All|All               All                   All      7.832923619826735         -0.7215031373199565        6.520549811123346          -2.495476036815242        
