#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|MEGACAMPSF|i           6373.93960255085      All      1.159862359361757          -0.10531546756542554      -0.09462194905622834      -0.41633258434784554       
Zeropoint     AB|MEGACAMPSF|z           7337.301383531063     All      0.40649886012609365        -0.07932100037919554      0.2828070543144934        -0.14562713161700444       
Zeropoint     AB|MEGACAMPSF|g           4065.2123958165994    All      -0.8691871751554098        0.5726983547582165        0.08946433340397686       0.4736619360227919         
Zeropoint     AB|MEGACAMPSF|r           5202.916547196886     All      0.2989834041931819         0.6109813301263145        -0.27713760049608016      0.08926061064012039        
Check         All|All|All               All                   All      0.9961574485256228         0.9990432169399099        0.0005118381661617377     0.000962830698062328       
Lambda        AB|MEGACAMPSF|i           6373.93960255085      All      -0.00024156726631265787    4.688989193087233e-06     -0.0003080475038453285    6.646701872278016e-05      
Lambda        AB|MEGACAMPSF|z           7337.301383531063     All      -4.358530396220315e-05     5.645486108286314e-06     -0.0001758988977897291    8.186528036904423e-06      
Lambda        AB|MEGACAMPSF|g           4065.2123958165994    All      -0.0008173718675418802     0.000436518571166005      -0.0004025719288479253    0.00039046843141880117     
Lambda        AB|MEGACAMPSF|r           5202.916547196886     All      -0.00012329794234662084    0.00010721247010148805    -0.0021682233455654052    -2.1673024721287172e-05    
MWEBV         All|All|All               All                   All      -0.5149874505433476        -3.231658467837484        0.03136101516809653       -0.8835096280834226        
Redshift      All|All|All               All                   All      7.578464038901083          -0.5923373791564046       6.018077333581373         -2.392939681875192         
