#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5407.445727770396    All      0.4396713951513555         0.3984374394452317         -0.3069139548802058       -0.027127416131828008      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4322.316807788489    All      -1.1727527957268173        0.8581303981312516         0.047381738847862565      0.6636398997003995         
Zeropoint     AB|CNIa02|SDSS_r                      6097.037383392111    All      1.132407036934875          -0.14256777151944178       -0.09948413386133836      -0.4197407605189968        
Zeropoint     AB|CNIa02|SDSS_i                      7393.723480967024    All      0.6197128500185247         -0.1207479736859085        0.3924455487230416        -0.22367940831575783       
Check         All|All|All                           All                  All      1.0190384863779376         0.993252092371133          0.03342919882936002       -0.006907685266183128      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5407.445727770396    All      0.00016208603461185256     -9.104531099417286e-07     -0.0011287400537671702    -0.00010346380296022692    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4322.316807788489    All      -0.0006073994971664289     0.0003079195902144421      -0.0007473278904781391    0.0002647997284642886      
Lambda        AB|CNIa02|SDSS_r                      6097.037383392111    All      1.6607107617275116e-05     -8.081201918739021e-05     -0.0005503743533470608    -5.6293294206258197e-05    
Lambda        AB|CNIa02|SDSS_i                      7393.723480967024    All      -0.00014177907528596927    -3.4287491411544905e-05    -0.0006041932610045674    8.051174956611925e-06      
MWEBV         All|All|All                           All                  All      -0.8899211212542486        -4.042770787892813         0.002780585420847359      -1.0268627773406869        
Redshift      All|All|All                           All                  All      3.713390991784195          -0.6248565356013813        4.726321273919609         -1.202195932527228         
