#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5407.445727770396    All      0.49180754802055254        0.39098476559447093        -0.20955999019476712       -0.042192997095363095     
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4322.316807788489    All      -1.078269548674964         0.7882991772587999         0.002015313637069825       0.6080927765153233        
Zeropoint     AB|CNIa02|SDSS_r                      6097.037383392111    All      1.014840039799291          -0.08700459969315233       -0.07743965034328949       -0.3623628246219785       
Zeropoint     AB|CNIa02|SDSS_i                      7393.723480967024    All      0.5692211290806312         -0.0939075510236087        0.28649369897322213        -0.20321792942830894      
Check         All|All|All                           All                  All      0.9975991682255104         0.9983717921365098         0.0015093720722353376      0.00031902536967284845    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5407.445727770396    All      4.841887649323313e-05      -2.9201766220567172e-05    -0.0009675801017190547     -6.846225298023154e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4322.316807788489    All      -0.00040722728201020005    0.00011044739447922714     -0.0010482119060146692     0.00012184679002130864    
Lambda        AB|CNIa02|SDSS_r                      6097.037383392111    All      -5.663871929486035e-05     -2.940257233193748e-05     -0.0003126893247584377     -5.08217932540166e-06     
Lambda        AB|CNIa02|SDSS_i                      7393.723480967024    All      -8.982039949776456e-05     -5.542526862903985e-06     -0.00020234697362631816    1.842225968992019e-05     
MWEBV         All|All|All                           All                  All      -0.8701640063245191        -4.036120738396143         0.05333885049876646        -1.0288759965971637       
Redshift      All|All|All                           All                  All      4.402423370352682          -0.26613995037729765       1.5760393435466944         -1.4503732673172907       
