#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_i                5108.100996535418     All      1.1435830366211024         0.9374697494633821        5.807860080556626         0.19204024230571257       
Zeropoint     AB|PS|PS_r                4217.33081828179      All      -1.09054800884871          0.23701927441130977       -2.6086669986063127       0.3160195128504739        
Zeropoint     AB|PS|PS_g                3320.9104419934865    All      -0.24580689569206066       0.15766206798044635       0.45765132720134716       0.1518459920192481        
Zeropoint     AB|PS|PS_z                5870.454456526417     All      1.1846688945030905         -0.32347906511134283      -3.580318829428464        -0.651026592588317        
Check         All|All|All               All                   All      0.9918970265834223         1.0086720267437954        0.07652557972319673       0.008879154587117633      
Lambda        AB|PS|PS_i                5108.100996535418     All      0.0001743404344312022      3.3631956793224995e-05    -7.946597260535591e-05    -4.937958172146938e-05    
Lambda        AB|PS|PS_r                4217.33081828179      All      -0.0007414626787434673     5.140100820796943e-05     -0.002394251715175407     0.0001514173296327055     
Lambda        AB|PS|PS_g                3320.9104419934865    All      -0.00046826425816729465    0.00035214576503221927    0.0013124753111848052     0.0003258042804012483     
Lambda        AB|PS|PS_z                5870.454456526417     All      -0.0005052200388437941     0.00014224562355780312    0.0011622960405330797     0.00026276880128815283    
MWEBV         All|All|All               All                   All      -0.3162914944124018        -2.3580852996035517       0.2934481935600086        -0.6519841702519312       
Redshift      All|All|All               All                   All      3.7312245699497675         -0.15375408779405575      -6.797020190387837        -1.5687851543410285       
