#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                   ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_i                5108.100996535418     All      0.8524661784103086        0.9670669677820598       4.384515098927577         0.23299001886802262       
Zeropoint     AB|PS|PS_r                4217.33081828179      All      -0.9639900786164528       0.19212227038565288      -2.3209609157379436       0.27301000115505125       
Zeropoint     AB|PS|PS_g                3320.9104419934865    All      -0.2751082406833244       0.1374367073779581       0.1853221581222754        0.14264953867232386       
Zeropoint     AB|PS|PS_z                5870.454456526417     All      1.3747939942054166        -0.28843300198175825     -2.1924338136274777       -0.6396060028189379       
Check         All|All|All               All                   All      0.9881618533159477        1.0081929435639125       0.05644252768443092       0.009043555876459886      
Lambda        AB|PS|PS_i                5108.100996535418     All      0.0002485917862077189     0.0001954712778690901    0.0008561814711084654     2.0904349577599664e-05    
Lambda        AB|PS|PS_r                4217.33081828179      All      -0.0007920738079679355    5.926236856611794e-05    -0.0025303043142797152    0.00016439234054649264    
Lambda        AB|PS|PS_g                3320.9104419934865    All      -0.0006582585907591048    0.0002991181265554658    0.00020746357458583292    0.0003211072400758403     
Lambda        AB|PS|PS_z                5870.454456526417     All      -0.000830340417757531     0.0001548298240007458    0.0010575352983628052     0.0003680953021609059     
MWEBV         All|All|All               All                   All      -0.3260872390563736       -2.3545843701457514      0.27392793216586014       -0.6485241056621026       
Redshift      All|All|All               All                   All      5.922566833052743         0.17965439404221684      1.6043383351487694        -1.7990612661547705       
