#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r              6047.410103283054     All      0.6146743414934763         -0.02919085592179016       -0.26481757914529486       -0.22154566962806904       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6090.099613865648     All      0.5217185057022001         -0.009233835905586574      0.16194342103241738        -0.16572185437340248       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i              7393.884844795039     All      0.22350645623843743        -0.02977925868581366       0.044108035998295526       -0.08053515113761714       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u              3494.9426697133654    All      -0.1750854496503112        0.07232284766018893        -0.033260437773738334      0.07910476134706775        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B              4276.602368569472     All      -0.3623618461263472        0.22451523043525157        -0.11335745503547158       0.1861065489321626         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3014      5224.824663667887     All      0.24590046743039057        0.16412582488980476        -0.159296772433482         -0.03374537471139181       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7419.707507220256     All      0.21520884218572445        -0.023739623036345137      0.12378527905028851        -0.07230940781504237       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4273.5735363879685    All      -0.243053028083103         0.16903842988131856        0.0834043528885092         0.1379536984723607         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5285.103049485746     All      0.2594983955700035         0.12281157863505143        0.1821270865177976         -0.03639589774658429       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g              4671.787463360109     All      -0.30499032623234257       0.33617043166245253        -0.024082882436164642      0.20777244397428032        
Check         All|All|All                                All                   All      0.9950163585281286         0.9970407696145323         0.0005530486631567973      0.0006840973137642037      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r              6047.410103283054     All      -0.00013093486407640025    -2.1512760467120062e-05    -0.0005444592281993487     1.1345664282074728e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6090.099613865648     All      -0.0001073212676934695     1.1756559862124077e-06     -8.173284928514186e-05     3.169365580704152e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_i              7393.884844795039     All      -6.996464497858444e-05     -8.776141144573375e-06     -0.0002866574319876001     7.138904121078127e-06      
Lambda        Linear_AB11_off|SWOPE|SWOPE_u              3494.9426697133654    All      -0.0003013744598721632     8.853257072017141e-05      -0.00015874139639495156    0.00011992164797596949     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B              4276.602368569472     All      -0.0001800762035131003     6.328558156367494e-05      -0.0003323314071308598     6.444051540711643e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3014      5224.824663667887     All      1.832939221666894e-05      1.2127824103983432e-05     -0.0006505464143002442     -3.105095337844266e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7419.707507220256     All      -9.289670312933045e-05     7.408923338605071e-06      -0.00011114941157141011    2.771275475004962e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4273.5735363879685    All      -8.765440432022468e-05     5.0577340921243385e-05     -3.4560241585145295e-05    4.3484362261988005e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5285.103049485746     All      5.6413865983849656e-05     2.332661505835622e-05      -8.224679584271227e-05     -1.4447902917245936e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g              4671.787463360109     All      -7.552029258834194e-05     -5.603249992324547e-05     -0.0005850745896609408     -1.9761376585815123e-05    
MWEBV         All|All|All                                All                   All      -0.9625463288604506        -3.911861482983525         -0.0001930671485948439     -0.9606975909845056        
Redshift      All|All|All                                All                   All      6.623366775250693          0.571437440464706          8.910979962311075          -1.573656377833671         
