#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4335.117191633013     All      -1.0624109451781523        0.7662865649312067         0.1632946553613126         0.6029540318872505         
Zeropoint     AB|CNIa02|SDSS_i                      7415.619723839853     All      0.49545337071526463        -0.11031919907669163       0.33956511555612334        -0.18216682376572227       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5423.459681400349     All      0.39153451937143724        0.4680220535926871         -0.5684377344695387        -0.00045225908829866606    
Zeropoint     AB|CNIa02|SDSS_r                      6115.0935376011685    All      1.1725454090606393         -0.12574704854912966       0.0654280869190502         -0.4199768109778043        
Check         All|All|All                           All                   All      0.9971223539691888         0.9982423708980726         -0.00014987663305257581    0.0003581380554252833      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4335.117191633013     All      -0.0001694448003136018     6.813013601590396e-05      -0.00017298084918726953    6.96666319188436e-05       
Lambda        AB|CNIa02|SDSS_i                      7415.619723839853     All      -0.0001128430365273573     1.3527520895216905e-05     -0.0003157336640230357     2.7073304707302382e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5423.459681400349     All      -9.247952164796044e-05     -8.216156208970904e-06     -0.0013444484880987884     -3.254921088942818e-05     
Lambda        AB|CNIa02|SDSS_r                      6115.0935376011685    All      -0.00018694717174831227    -1.7796451195494754e-05    -0.0006810396769698708     2.4706281696399094e-05     
MWEBV         All|All|All                           All                   All      -0.8928772412585859        -4.053250316764512         0.0502332758903742         -1.0271958034882556        
Redshift      All|All|All                           All                   All      5.358100093175976          -0.6831976291049813        3.970884488441248          -1.7906470838320865        
