#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4335.117191633013     All      -0.9699806078575736        0.8234494304648621         0.7623381825108577         0.6181988173701705        
Zeropoint     AB|CNIa02|SDSS_i                      7415.619723839853     All      0.5247747017216701         -0.1163464045673912        0.5279019729167445         -0.1852763960910317       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5423.459681400349     All      0.31274614922681976        0.40631214682349537        -1.4338812711217397        -0.033510011904561154     
Zeropoint     AB|CNIa02|SDSS_r                      6115.0935376011685    All      1.1317166696100753         -0.11829658490967176       0.1297074698505707         -0.4013821925570746       
Check         All|All|All                           All                   All      0.9992569127009915         0.9951185878112945         -0.013933645843566822      -0.0019697831824969647    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4335.117191633013     All      -0.00025613953459241586    0.00014515027565036986     -0.00010457588000130088    0.00012604655201387866    
Lambda        AB|CNIa02|SDSS_i                      7415.619723839853     All      -3.30476128048968e-05      8.095360417297677e-06      -0.00013306166852167914    7.463688806099165e-06     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5423.459681400349     All      -6.250287761800414e-05     3.708660712224709e-05      -0.001323816847882841      -2.663629427351726e-05    
Lambda        AB|CNIa02|SDSS_r                      6115.0935376011685    All      9.170259502000475e-05      -1.3345328837676678e-05    -2.0862797867540893e-06    -3.431066585943542e-05    
MWEBV         All|All|All                           All                   All      -0.8793009841151318        -4.058067911901908         0.08120367836221831        -1.0318052194954894       
Redshift      All|All|All                           All                   All      4.371094729966168          -1.4023141314441823        3.0409257443049675         -1.7448866561695668       
