#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|DECam|DECam_r          4748.946913166601     All      -0.20161535680025344       0.5826960616888144        -0.1535809533724397       0.248622419503923         
Zeropoint     AB|DECam|DECam_z          6760.86172010722      All      0.9141929229677761         0.029864293092884964      0.5934126228535008        -0.2615736483856552       
Zeropoint     AB|DECam|DECam_i          5769.3773446355235    All      0.8022846367218885         0.105460848758554         -0.39393236037324475      -0.24455782453891503      
Zeropoint     AB|DECam|DECam_g          3573.1237538306154    All      -0.5222501999746803        0.2822614888685848        -0.040559911733023535     0.2602459221289384        
Check         All|All|All               All                   All      0.9926120029147311         1.0002826924088382        0.005339397374792831      0.0027368687082911514     
Lambda        AB|DECam|DECam_r          4748.946913166601     All      -0.00014222231782124272    -1.548234125293679e-05    -0.0008014342496340007    5.519050282882031e-06     
Lambda        AB|DECam|DECam_z          6760.86172010722      All      -0.000698492719601431      -7.221540791423523e-05    -0.0008975809890768119    0.00016394420722595196    
Lambda        AB|DECam|DECam_i          5769.3773446355235    All      -0.00029066564538400157    -6.397418800818981e-05    -9.08314076704184e-05     6.978747704396236e-05     
Lambda        AB|DECam|DECam_g          3573.1237538306154    All      -0.0010249795250371547     0.0006563418392802535     0.0004331061531929135     0.0005669892206204682     
MWEBV         All|All|All               All                   All      -0.4507897478512817        -2.697712806238073        0.007229926418383936      -0.731574123279307        
Redshift      All|All|All               All                   All      5.697160146014119          0.35721666064212343       4.089001131369824         -1.5569219317180227       
