#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|MEGACAMPSF|i           5496.999837919195     All      1.3976468571762193         0.3087852988226558         0.2670626882492311        -0.34276025083498984       
Zeropoint     AB|MEGACAMPSF|r           4494.998416380544     All      -0.506936995955724         0.5217564576289746         -0.18767640883132763      0.3267041646823475         
Zeropoint     AB|MEGACAMPSF|z           6340.7921906404945    All      0.5601996660044216         -0.022464804167654506      -0.046480083720013        -0.191867179687856         
Zeropoint     AB|MEGACAMPSF|g           3513.680708366803     All      -0.41075078073391535       0.17490222776892494        0.009573247222949277      0.19119366233628157        
Check         All|All|All               All                   All      1.0401587464910014         0.9829791800529009         0.042479442920839716      -0.01672960350421679       
Lambda        AB|MEGACAMPSF|i           5496.999837919195     All      -3.823627742232565e-06     -8.506685458067999e-05     -0.0013516134514386406    -8.677989240571374e-05     
Lambda        AB|MEGACAMPSF|r           4494.998416380544     All      -0.00039605867408137635    -0.00017487237876699085    -0.002259618667863892     -2.8788749896732157e-05    
Lambda        AB|MEGACAMPSF|z           6340.7921906404945    All      -0.0001988714964953767     -3.538929462667635e-06     -0.0002225297652466204    5.369576195241761e-05      
Lambda        AB|MEGACAMPSF|g           3513.680708366803     All      -0.0009615751798852539     0.00031154843000421803     -0.0007303211984084107    0.00038210736342264486     
MWEBV         All|All|All               All                   All      -0.423986092826381         -2.5715485451630826        0.06962456402911377       -0.6964247189135874        
Redshift      All|All|All               All                   All      4.627614379002923          0.4062893224279662         2.84469216662242          -1.248078902197943         
