#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|MEGACAMPSF|i           5496.999837919195     All      1.4297801885390076         0.29391489820085326        0.30277911399356655        -0.35647705267786184      
Zeropoint     AB|MEGACAMPSF|r           4494.998416380544     All      -0.5993887003240934        0.5280654371944138         -0.2813471773651764        0.3546936723841948        
Zeropoint     AB|MEGACAMPSF|z           6340.7921906404945    All      0.6669519173052981         -0.03534469025598952       0.021302156471237108       -0.22781049254877142      
Zeropoint     AB|MEGACAMPSF|g           3513.680708366803     All      -0.5055081121971405        0.2136959375329539         -0.040724904048779674      0.2324510546825445        
Check         All|All|All               All                   All      0.991835293323072          1.0003315826722314         0.0020091890508475915      0.0028571818401060545     
Lambda        AB|MEGACAMPSF|i           5496.999837919195     All      4.010235689549279e-05      -7.478557094155259e-05     -0.001293231090061961      -9.51337417509883e-05     
Lambda        AB|MEGACAMPSF|r           4494.998416380544     All      -0.00034179592878738456    -0.00017140424388617395    -0.002165839591811911      -4.114929614886685e-05    
Lambda        AB|MEGACAMPSF|z           6340.7921906404945    All      -0.00023897839529962145    3.5567242469746e-06        -0.00028429793718500753    6.631475640138437e-05     
Lambda        AB|MEGACAMPSF|g           3513.680708366803     All      -0.001030892006673289      0.0003540826350524017      -0.0005233616836945493     0.0004277765768923575     
MWEBV         All|All|All               All                   All      -0.41306009815791445       -2.579792663530256         0.03318205057199261        -0.7042953174084621       
Redshift      All|All|All               All                   All      4.597519358229202          0.2469972486199623         2.0575879121866776         -1.325287480664386        
