#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|MEGACAMPSF|z           5335.310926496446     All      1.8300884049453972        0.288427342542974         0.6408812306862577        -0.4735701413024124       
Zeropoint     AB|MEGACAMPSF|r           3781.3995382448684    All      -1.9003204549429156       0.40494547663705305       -0.19256908989752353      0.742307480867755         
Zeropoint     AB|MEGACAMPSF|i           4618.5530654350905    All      1.068760330783153         0.3051103385978138        -0.45006933017145423      -0.26883045290515584      
Check         All|All|All               All                   All      0.9985282807856347        0.9984831577778408        -0.0017571893827200702    -9.311333981321113e-05    
Lambda        AB|MEGACAMPSF|z           5335.310926496446     All      6.657094344653286e-06     1.3962097967608956e-05    0.0001688371646335037     9.913907224021394e-06     
Lambda        AB|MEGACAMPSF|r           3781.3995382448684    All      -0.0027360256576826458    0.00048827596608160066    -0.0014583521177829323    0.0009851815581850114     
Lambda        AB|MEGACAMPSF|i           4618.5530654350905    All      8.427219640559002e-06     -4.598405940507009e-05    -0.0006440371277889728    -4.646396272075517e-05    
MWEBV         All|All|All               All                   All      -0.10485916727827904      -2.007314258746007        0.045966808554082084      -0.6176409246566185       
Redshift      All|All|All               All                   All      4.442290284662924         -0.6798785960643983       -5.216189068283559        -1.9012334798313262       
