#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            4966.446552893886     All      0.7681237363465714        0.4597434873486961         0.3986878953150197        -0.08265798284681353      
Zeropoint     AB|SDSS|SDSS_z            7160.469817928278     All      0.15133718654603728       0.007537797580248196       0.10449192128730855       -0.042177197312517206     
Zeropoint     AB|SDSS|SDSS_g            3800.7519222757605    All      -1.082601448743802        0.468738709478167          -0.28609629150385674      0.49255536361105556       
Zeropoint     AB|SDSS|SDSS_i            6022.684491835877     All      1.1600919723751553        0.06239807055017366        -0.2210321671752613       -0.3674186673381083       
Check         All|All|All               All                   All      0.9969514465239618        0.9984180649572849         -0.003948642076789799     0.0003015161136165623     
Lambda        AB|SDSS|SDSS_r            4966.446552893886     All      -0.0001813556644045986    -0.00014777204165827363    -0.001587160276503021     -5.988838277999638e-05    
Lambda        AB|SDSS|SDSS_z            7160.469817928278     All      -3.249521459640618e-05    8.107544554645378e-07      -8.016593903642051e-06    1.0491106086994058e-05    
Lambda        AB|SDSS|SDSS_g            3800.7519222757605    All      -0.0016559579750633447    0.0005939799395275941      -0.0013963803590541053    0.000670564757459455      
Lambda        AB|SDSS|SDSS_i            6022.684491835877     All      -0.0001412823440693528    -1.0486088306046626e-05    1.3101205080296597e-06    4.266310823221701e-05     
MWEBV         All|All|All               All                   All      -0.5516290527921686       -3.059860092887412         0.06893330512541263       -0.8139371913006718       
Redshift      All|All|All               All                   All      4.550829668647369         0.6485509724464933         4.8705892097255505        -1.053748525885497        
