#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            4966.446552893886     All      0.7889934270649198         0.45889845420763464        0.6259670490640453         -0.07958875802459642      
Zeropoint     AB|SDSS|SDSS_z            7160.469817928278     All      0.11063715546488995        0.005201344781546879       0.06945364849234416        -0.03124451493156089      
Zeropoint     AB|SDSS|SDSS_g            3800.7519222757605    All      -1.0977727534643709        0.47692363122635584        -0.37335355228628003       0.4962693641783409        
Zeropoint     AB|SDSS|SDSS_i            6022.684491835877     All      1.1954908536879036         0.057294005102725976       -0.3242090483023198        -0.3852161199356988       
Check         All|All|All               All                   All      0.9973486827533423         0.9983174353182633         -0.002141903032210346      0.00021997128648476583    
Lambda        AB|SDSS|SDSS_r            4966.446552893886     All      -0.0001299938417398854     -0.00012328564324850795    -0.001490853641993712      -6.434486985725118e-05    
Lambda        AB|SDSS|SDSS_z            7160.469817928278     All      -3.81182571234977e-05      -1.6033885350664552e-06    -2.4028223841569792e-05    1.082182473033752e-05     
Lambda        AB|SDSS|SDSS_g            3800.7519222757605    All      -0.0016828203036478783     0.0006183524076529279      -0.0014145718580295737     0.0006864418132738614     
Lambda        AB|SDSS|SDSS_i            6022.684491835877     All      -0.00017899577772026112    -2.3731385008470658e-05    -0.00018737178250960863    4.221317866709254e-05     
MWEBV         All|All|All               All                   All      -0.544559338554806         -3.06164995420648          0.07153661637121314        -0.8167068727064554       
Redshift      All|All|All               All                   All      4.70177938409215           0.5595925150242209         5.478838433947268          -1.1047511412433726       
