#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|DECam|DECam_z          5679.958519176497     All      1.7657364750326958        0.2702060743192902         1.0402449386463397        -0.44072209906151694       
Zeropoint     AB|DECam|DECam_i          4846.989238301819     All      0.7544066433890529        0.32527982349890294        0.7900308145809776        -0.10452527631679351       
Zeropoint     AB|DECam|DECam_r          3989.701696802311     All      -1.2884919356211122       0.36879208250333306        -1.7915303145580763       0.45988415799022436        
Zeropoint     AB|DECam|DECam_g          3001.8650796070788    All      -0.24588944170679444      0.03767077983347633        -0.01571788594967316      0.09166347594956534        
Check         All|All|All               All                   All      0.9857617410938422        1.0019487601550026         0.0230275527195678        0.006300258561479227       
Lambda        AB|DECam|DECam_z          5679.958519176497     All      -0.0003115821983429631    -8.466661525492537e-06     0.0002838906740133142     0.00011140343946491681     
Lambda        AB|DECam|DECam_i          4846.989238301819     All      3.4972465040738804e-05    -5.6225572390288695e-05    -0.0006079282103553197    -5.6835245032477626e-05    
Lambda        AB|DECam|DECam_r          3989.701696802311     All      -0.0008210411958361136    5.303076160847575e-05      -0.0018403656749008805    0.00020258692507595075     
Lambda        AB|DECam|DECam_g          3001.8650796070788    All      -0.0004471633257018689    0.0001668060484123867      0.0008753312244460409     0.00023905203643757758     
MWEBV         All|All|All               All                   All      -0.2053245650199964       -2.0470312074253982        0.5440439011509479        -0.5756262631751538        
Redshift      All|All|All               All                   All      4.907042819405008         0.7834714847877677         1.220343563027071         -1.2887245167695542        
