#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|DECam|DECam_z          5679.958519176497     All      1.4328835248587612         0.2419403474661408        0.4883313513619588         -0.3661373883570137        
Zeropoint     AB|DECam|DECam_i          4846.989238301819     All      0.660074428545363          0.33257980481113947       0.44513688552940844        -0.08681135844192008       
Zeropoint     AB|DECam|DECam_r          3989.701696802311     All      -0.8860730427614699        0.3469331308572521        -1.2485916739401286        0.34591176361202747        
Zeropoint     AB|DECam|DECam_g          3001.8650796070788    All      -0.21885283520291718       0.07921871594511742       0.3328861653592263         0.1119468911407976         
Check         All|All|All               All                   All      0.9880320754397373         1.0006719990796498        0.017762728310464992       0.004909907953891304       
Lambda        AB|DECam|DECam_z          5679.958519176497     All      -0.00046964213138012275    -7.87658724388215e-05     -0.00012478247388118238    0.00012175278827999325     
Lambda        AB|DECam|DECam_i          4846.989238301819     All      -0.00012105281441573139    -3.855493295402894e-05    -0.00063646823225648       -1.5303799209886996e-06    
Lambda        AB|DECam|DECam_r          3989.701696802311     All      -0.0007149912397481099     0.00016091697861168292    -0.0015086845878239375     0.00021798645922733333     
Lambda        AB|DECam|DECam_g          3001.8650796070788    All      -0.0006935327143919201     0.00023089414989713235    0.0008699189200710315      0.00033993672844911526     
MWEBV         All|All|All               All                   All      -0.30399868753879056       -2.0460195442218776       0.36503052410547676        -0.5511438680392954        
Redshift      All|All|All               All                   All      6.0521522463299355         0.7963550454018531        2.267421590123524          -1.6108014472577068        
