#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3943.1177232615064    All      -1.0257609529037266        0.6052017936569953        -0.07275054257342983      0.5280117010515186        
Zeropoint     AB|SDSS|SDSS_r            5152.476095472472     All      0.7697321353117674         0.37131661673210914       0.19481053375529633       -0.12108354249354483      
Zeropoint     AB|SDSS|SDSS_i            6248.277826865029     All      1.165116049729071          0.019130625916652377      -0.23331326050313184      -0.3836968535835008       
Zeropoint     AB|SDSS|SDSS_z            7428.681488121483     All      0.0883444312065601         0.003325681131727265      0.11281432989345141       -0.02265901852750163      
Check         All|All|All               All                   All      0.9974316633436715         0.9989747174374841        0.0015610605721860793     0.0005722864469713818     
Lambda        AB|SDSS|SDSS_g            3943.1177232615064    All      -0.0010395126691664742     0.0004143279612569113     -0.0013620967079010357    0.000412779603075226      
Lambda        AB|SDSS|SDSS_r            5152.476095472472     All      -2.5878180113951516e-05    -9.552440325966926e-06    -0.0017364571887046275    -7.217227852265454e-05    
Lambda        AB|SDSS|SDSS_i            6248.277826865029     All      -0.0004366015333409261     -3.38513091895769e-05     -0.0004749864224054879    0.00010999253559667667    
Lambda        AB|SDSS|SDSS_z            7428.681488121483     All      -1.2424268604070255e-05    2.4618874148575243e-06    3.5109733351390775e-05    6.415696901650918e-06     
MWEBV         All|All|All               All                   All      -0.5723974570057226        -3.232389367670052        0.08872844748490927       -0.8624873333416602       
Redshift      All|All|All               All                   All      5.599587120453379          0.09466414751226893       -1.1209067863659161       -1.8431554406101762       
