#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3943.1177232615064    All      -1.0651407856011939        0.5980579649834894         -0.2456163484111597        0.5307978211245454        
Zeropoint     AB|SDSS|SDSS_r            5152.476095472472     All      0.8146752518824975         0.3629632660810955         0.2742105745867414         -0.13490069611824704      
Zeropoint     AB|SDSS|SDSS_i            6248.277826865029     All      1.1693172613540501         0.03588541368522158        -0.09619932651458682       -0.37348897570075795      
Zeropoint     AB|SDSS|SDSS_z            7428.681488121483     All      0.0789139896040611         0.0017988222266396292      0.06821341762066968        -0.022074895492960826     
Check         All|All|All               All                   All      0.9977657172394149         0.9987054669764461         0.0006083172816645777      0.00033325381257958905    
Lambda        AB|SDSS|SDSS_g            3943.1177232615064    All      -0.0010507159766421192     0.0004494414273221579      -0.001148651008342087      0.00043739160124475936    
Lambda        AB|SDSS|SDSS_r            5152.476095472472     All      2.7774601157515527e-05     -2.9585547409942435e-06    -0.0015605795787130632     -7.965229908214967e-05    
Lambda        AB|SDSS|SDSS_i            6248.277826865029     All      -0.0003045521695567551     -3.0041922474519032e-05    -0.0004520931102415424     6.924217947203413e-05     
Lambda        AB|SDSS|SDSS_z            7428.681488121483     All      -1.4713624042732932e-05    -4.3784386721075504e-07    -1.4613613663909072e-05    3.997952802464702e-06     
MWEBV         All|All|All               All                   All      -0.5734488524526662        -3.23288835453841          0.07835328326227559        -0.8627703916217629       
Redshift      All|All|All               All                   All      5.433672209557637          0.16787631058043928        -0.33031192655068536       -1.7299832680503717       
