#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_r                5818.078703381608    All      1.0386041927698173        0.5971001448820346         -2.411426628209587        -0.251423288583875        
Zeropoint     AB|PS|PS_z                8098.668926950154    All      0.3288794104686684        -0.17564373969340963       0.43899780311990705       -0.1447493326171501       
Zeropoint     AB|PS|PS_g                4581.409225627628    All      -1.1096455101994693       0.8755514646828999         0.7849702531084894        0.6816735829179911        
Zeropoint     AB|PS|PS_i                7046.953370087583    All      0.7426174508323379        -0.3061618997957538        1.190832783514933         -0.2884805404842169       
Check         All|All|All               All                  All      1.0004555438713543        0.990845970075771          0.0033742115337425105     -0.0029795787672509677    
Lambda        AB|PS|PS_r                5818.078703381608    All      -0.0003632714430625033    6.629918239934268e-06      -0.0016768100875849139    4.566070987078318e-05     
Lambda        AB|PS|PS_z                8098.668926950154    All      4.48798960835191e-05      -2.4077171869219913e-05    0.00020395654204677493    -1.335994191932601e-05    
Lambda        AB|PS|PS_g                4581.409225627628    All      -0.0002111640568885129    9.557387939283821e-05      -0.0002993726333525094    8.65550115674454e-05      
Lambda        AB|PS|PS_i                7046.953370087583    All      -0.0006020637516733205    0.0002685075564474183      -0.0010003401325019677    0.00023893313028272613    
MWEBV         All|All|All               All                  All      -0.6492711602774324       -3.8741527504687845        0.224669163905939         -1.0404240764613155       
Redshift      All|All|All               All                  All      5.518464845135952         -0.24323535417467568       18.451995639130512        -1.0533474907979634       
