#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|DECam|DECam_r          4007.0159633104427    All      -1.0888391989180968        0.3515813951832314        -1.0298259193971082        0.4232359749654476        
Zeropoint     AB|DECam|DECam_z          5704.608060177264     All      1.745764974963135          0.10962402388816628       -0.17011088470227342       -0.5405362026968014       
Zeropoint     AB|DECam|DECam_g          3014.8923924138053    All      -0.11020728044646527       0.0603652221885298        0.14711015644921463        0.062125926406689735      
Zeropoint     AB|DECam|DECam_i          4868.023909515777     All      0.440521395318777          0.4823619784104949        1.0725216017547148         0.06149056760003709       
Check         All|All|All               All                   All      0.98723989091735           1.0039326196704224        0.01969495410454769        0.006316266275373093      
Lambda        AB|DECam|DECam_r          4007.0159633104427    All      -0.0007733967618874863     0.00021171880277779574    -0.0009825326659960744     0.00027703862847681433    
Lambda        AB|DECam|DECam_z          5704.608060177264     All      -0.0005992003767646834     7.812725143752573e-06     -1.0216435052623651e-06    0.00019767854617205703    
Lambda        AB|DECam|DECam_g          3014.8923924138053    All      -0.0003597142428588652     0.0001604208679418347     0.00015625937824679438     0.0001763982559024465     
Lambda        AB|DECam|DECam_i          4868.023909515777     All      -0.00012044980001738127    -9.633896744064494e-05    -0.0012606008492120323     -4.840113477697462e-05    
MWEBV         All|All|All               All                   All      -0.21431701745145237       -2.0750521281549084       0.229215459123325          -0.5958738087308015       
Redshift      All|All|All               All                   All      6.705653971363079          0.5145877266972576        8.19190101641278           -1.6510670375952021       
