#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7446.917257989617     All      0.19329555314218527        -0.03223030241077396       0.04685202680231712        -0.0713703999612514        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3520.0100392548416    All      -0.1600334804055552        0.06633562855924424        -0.020802680636482142      0.07280753801876268        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5262.2995589697675    All      0.22901969091442193        0.12687160949269582        -0.24645189300011036       -0.04427100676310789       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R           6236.0593992243685    All      0.1848526974148801         -0.0007087461419530428     -0.022682128912506278      -0.06145566619473828       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I           7780.846663589227     All      0.14123521604028658        -0.021701565820819724      0.11762928374907797        -0.04782461563110183       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4705.295716235939     All      -0.26706244317471034       0.28053295683658774        -0.03959738722936254       0.1766027876094057         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R           6292.701496363888     All      0.47032954636987356        -0.023200239912490872      0.2587090607129751         -0.14921389086797618       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4307.276168424299     All      -0.34579901804236524       0.20367751273466794        -0.12002764146145964       0.17362630094358739        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B           4303.179939014251     All      -0.2704993724075214        0.19909264058428633        0.16743318426720322        0.16043334177081908        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V           5271.248211852481     All      0.0593474841759596         0.05638793622164684        -0.11510629091358647       -0.0061006872343563855     
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I           8053.6013192223345    All      0.02182838195829613        -0.0031502332378252618     0.015669999864901873       -0.007437076617143269      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6090.784967523756     All      0.533207643117958          -0.045298408220784125      -0.22265211589164194       -0.19837439453286548       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V           5303.978834234418     All      0.2853035145544524         0.13073127086036251        0.20594923661071143        -0.04115869650762946       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B           4328.594747043741     All      -0.0799246101231791        0.05925465578542344        -0.024101435763631676      0.0442597293840342         
Check         All|All|All                              All                   All      0.9951008035349821         0.9965947153302679         0.0008212181984056793      0.0005232634164388586      
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7446.917257989617     All      -3.8540423064487557e-05    -3.331145606397339e-06     -0.00023467563713099797    9.963241599815934e-07      
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3520.0100392548416    All      -0.0002675977312830063     8.590889479401768e-05      -4.8591443445745554e-05    0.00011298032518728238     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5262.2995589697675    All      2.0487220754309684e-05     9.464149530661104e-06      -0.0010507799560041102     -5.0482060324498925e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R           6236.0593992243685    All      -5.225696299889912e-05     4.3638176320760903e-07     4.77367514558476e-06       1.7376983145619492e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I           7780.846663589227     All      -1.0709987376150361e-05    1.933740777885528e-06      -1.1353784056990653e-05    3.6118109896508697e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4705.295716235939     All      -9.182306316781052e-05     -5.4596448301425e-05       -0.0006824576514663456     -1.8329017389089202e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R           6292.701496363888     All      -0.0001456764933046832     8.677202771942393e-06      -9.39033943757234e-05      4.6087599689625894e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4307.276168424299     All      -0.00024202741864911035    7.737306729280157e-05      -0.000490762507121604      8.213876953298117e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B           4303.179939014251     All      -5.696123172542991e-05     4.0545877051837317e-05     5.987137222221033e-05      3.443305758036158e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V           5271.248211852481     All      1.0349204516341581e-05     9.363530656518864e-06      -1.9274318422173325e-05    -1.1811907112900528e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I           8053.6013192223345    All      -4.012487346017646e-06     5.80538277203817e-07       -2.7965916435346916e-06    1.371300510767821e-06      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6090.784967523756     All      -0.00010937867648393734    -1.4790750649872734e-05    -0.0005681517776721807     5.456394883705487e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V           5303.978834234418     All      7.441765448459962e-05      2.7008757871672892e-05     9.14030162626529e-05       -1.1363740516268167e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B           4328.594747043741     All      -2.123412526968889e-06     1.5802236127312412e-06     -5.564368585978381e-07     1.1815649153329728e-06     
MWEBV         All|All|All                              All                   All      -0.9513773051736147        -3.9573625800480627        0.021696301689902935       -0.9781800917077952        
Redshift      All|All|All                              All                   All      5.136659759356723          0.2816485072482777         8.078240796556083          -1.2209421052052971        
