#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4319.188627289167    All      -1.178746248578878         0.7047738910885393        -0.15766001983532618      0.6064888328827289         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5403.532209389172    All      0.6699075815204165         0.5859461181068504        0.3374019960985075        -0.012292309429338955      
Zeropoint     AB|CNIa02|SDSS_i                      7388.372438311181    All      0.42800895771559905        -0.1132603270574073       0.12445963466676258       -0.17075515140835829       
Zeropoint     AB|CNIa02|SDSS_r                      6092.624788412493    All      1.078732025103907          -0.17916575716183658      -0.3049258630531737       -0.4233461320860027        
Check         All|All|All                           All                  All      0.9979023157610445         0.9982939249761458        -0.000724252123229796     9.523995902893656e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4319.188627289167    All      -0.00041433686149305675    8.627351460936855e-05     -0.0007466889955233532    0.00012974396863704428     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5403.532209389172    All      -0.00012033548842655188    3.078677508325685e-05     -0.0011295383869365091    -1.1806174268706962e-06    
Lambda        AB|CNIa02|SDSS_i                      7388.372438311181    All      -5.551553733725353e-05     -8.367432209421332e-06    -0.0003319863409815234    5.426633268284983e-07      
Lambda        AB|CNIa02|SDSS_r                      6092.624788412493    All      -0.00016432022607256645    2.4017652151350406e-05    -0.0003446971303900481    4.596559327702941e-05      
MWEBV         All|All|All                           All                  All      -0.8896564010014232        -4.032174056271476        0.04024716907919945       -1.0218253397740074        
Redshift      All|All|All                           All                  All      6.722142420431617          -0.9295799218861589       6.94931915112762          -2.1823015044342973        
