#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4319.188627289167    All      -1.1675154358794941       0.7160803995717835         -0.19557912697825267       0.6048213338942205         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5403.532209389172    All      0.5954612763925713        0.607770662157936          0.30330511395528786        0.017544686116364516       
Zeropoint     AB|CNIa02|SDSS_i                      7388.372438311181    All      0.4691598464312282        -0.1283751460424476        0.20003324394383204        -0.18571024040826412       
Zeropoint     AB|CNIa02|SDSS_r                      6092.624788412493    All      1.1008847818428815        -0.197159912798206         -0.30803945654083736       -0.43656224761797463       
Check         All|All|All                           All                  All      0.9979904687871868        0.9983160028890659         -0.0002802256199701536     9.353198434630672e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4319.188627289167    All      -0.0005225429108783256    0.00018223528005374595     -0.0006533720966962897     0.00020041244745429315     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5403.532209389172    All      -9.471103715974147e-05    6.242331177871734e-05      -0.0011790320393509916     -1.4309578021586569e-06    
Lambda        AB|CNIa02|SDSS_i                      7388.372438311181    All      -6.705636080367383e-05    -1.4242113539064095e-05    -0.00046374564673256095    -3.491500435749551e-06     
Lambda        AB|CNIa02|SDSS_r                      6092.624788412493    All      -0.0001284839065070018    1.913239447321734e-05      -0.0006400815577262207     1.9519585528249805e-05     
MWEBV         All|All|All                           All                  All      -0.8856948684401398       -4.038283261132225         0.027808260394073143       -1.0256608016345592        
Redshift      All|All|All                           All                  All      6.658221229885141         -1.400758916127831         8.183263265449666          -2.259893510959729         
