#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V    5253.6124270419905    All      0.2788698160367539         0.4666754732189915        -0.20712036468897377      0.05193165056021113       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R    6261.249098102736     All      1.3663498406660932         -0.22370029100358124      -1.3212346170960552       -0.5768922717302392       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B    4256.312026157903     All      -1.0044677046412231        0.733834139234979         0.34696880153917437       0.5817057230251039        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I    8090.6812714212665    All      0.3585301692852357         0.02398813950641454       1.214532086484674         -0.054772356329127296     
Check         All|All|All                       All                   All      0.99928212134686           1.0007974609568038        0.0331459062388193        0.0019727455259485674     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V    5253.6124270419905    All      0.000204038811742698       0.0001332508175749837     0.0006484134853388641     5.877737238993511e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R    6261.249098102736     All      -0.0003344627282338054     5.602305839709722e-05     0.00029750160504926154    0.0001404701975643816     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B    4256.312026157903     All      -0.0006537937288041073     -6.478429507883071e-05    -0.003964678505879099     1.4934357791478792e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I    8090.6812714212665    All      -2.0226473900775676e-05    9.490224388268556e-06     4.047486130548655e-05     1.1485913448826023e-05    
MWEBV         All|All|All                       All                   All      -0.8429551411878555        -3.987938561331461        0.4111382629923815        -1.0060773544344135       
Redshift      All|All|All                       All                   All      5.7997124095490165         0.2349179035523008        8.670620487029435         -1.4257066772878446       
