#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3494.2473831189723    All      -1.091292175454515        0.1522945378647833         -1.8921277934751957       0.32064013212156245       
Zeropoint     AB|SDSS|SDSS_r            4565.936747710365     All      0.7060418935127936        0.5661244684571187         1.375944299465065         0.01582636611434495       
Zeropoint     AB|SDSS|SDSS_i            5536.996351066201     All      1.0856916410640576        0.22078636217344183        -0.31040237129114634      -0.2955799360773625       
Zeropoint     AB|SDSS|SDSS_z            6583.027104862155     All      0.2965989621961479        0.05995626291728229        0.8433798087699174        -0.03944614510664069      
Check         All|All|All               All                   All      0.997040321318484         0.9991616314126261         0.016793943468640382      0.0014404170519042234     
Lambda        AB|SDSS|SDSS_g            3494.2473831189723    All      -0.0016897024140595774    0.0002869184261441669      -0.002778488095871836     0.0005198592739639423     
Lambda        AB|SDSS|SDSS_r            4565.936747710365     All      -0.0005372568587139806    -0.00019070570303369801    -0.0022405086788774447    1.2899500545300546e-05    
Lambda        AB|SDSS|SDSS_i            5536.996351066201     All      -6.675583130473961e-06    -5.157622425897162e-05     -0.0015104148367797764    -8.202849308381989e-05    
Lambda        AB|SDSS|SDSS_z            6583.027104862155     All      -7.428257705706864e-05    -1.770639817711508e-05     -0.0003336029823086639    3.541553844842541e-06     
MWEBV         All|All|All               All                   All      -0.6556490526216456       -2.686141001492892         -0.1744985519073039       -0.6691850978770513       
Redshift      All|All|All               All                   All      9.132187422548093         1.475147389471232          24.195123609382314        -1.4144326054043923       
