#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            4556.419350921268     All      0.4665131130289259        0.44409769626252427        0.04997429721009366        -0.005071315325282997     
Zeropoint     AB|SDSS|SDSS_z            6569.3052150305075    All      0.15703367614303526       0.021686521042596496       0.061523862820539336       -0.041341493776555334     
Zeropoint     AB|SDSS|SDSS_i            5525.454843987877     All      1.316098716369879         0.27244841969480404        0.048565364031965624       -0.3377839875578813       
Zeropoint     AB|SDSS|SDSS_g            3486.963852780738     All      -0.9438910068447529       0.2602355581338145         -0.15886903022090687       0.3851340416411411        
Check         All|All|All               All                   All      0.9957544986970871        0.9984681951337393         0.001194493841691735       0.0009372449814215034     
Lambda        AB|SDSS|SDSS_r            4556.419350921268     All      -0.0003612398018707949    -0.00025528100792499524    -0.00225857255159284       -6.627545460013664e-05    
Lambda        AB|SDSS|SDSS_z            6569.3052150305075    All      -4.689474849714976e-05    -9.265658691851868e-06     -5.6940106476801734e-05    9.716057074259301e-06     
Lambda        AB|SDSS|SDSS_i            5525.454843987877     All      3.176307046025418e-05     -2.1019496312637977e-05    -0.00045076818556318997    -3.730873231109094e-05    
Lambda        AB|SDSS|SDSS_g            3486.963852780738     All      -0.0018475643625514419    0.00039938481964988954     -0.0011988477243510007     0.0006784062032460079     
MWEBV         All|All|All               All                   All      -0.5927626211033625       -2.6716167648293876        0.04572329574405287        -0.675110766191886        
Redshift      All|All|All               All                   All      7.401678796087445         0.7829146545748955         7.509347199903899          -1.8208415554155424       
