#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|DECam|DECam_z          7188.697500832755    All      0.5866007595690544        -0.013820817298082488      0.6651675086701725         -0.16589368996069165       
Zeropoint     AB|DECam|DECam_i          6134.470754725739    All      1.0886594699354075        0.03528689823291131        0.08825046618898824        -0.3391798885454739        
Zeropoint     AB|DECam|DECam_r          5049.466210015425    All      -0.03686041512933891      0.5459952418787495         -0.9045861101932173        0.14948773938489174        
Zeropoint     AB|DECam|DECam_g          3799.235491377709    All      -0.6444162812773584       0.4322157205058019         0.15377520552591895        0.3575567442801991         
Check         All|All|All               All                  All      0.9939835330977645        0.9996770433193802         0.0026070701918623485      0.00197090515892534        
Lambda        AB|DECam|DECam_z          7188.697500832755    All      -0.0002523782382296838    -8.586991414068347e-07     -0.00039323830066357744    6.43797693476765e-05       
Lambda        AB|DECam|DECam_i          6134.470754725739    All      -0.0003121226432030955    -4.729439903670062e-05     -0.0006313122108888269     5.809070725557838e-05      
Lambda        AB|DECam|DECam_r          5049.466210015425    All      -0.0002724890499172821    -0.00013220526739758762    -0.002273846538311324      -5.5776284439399635e-05    
Lambda        AB|DECam|DECam_g          3799.235491377709    All      -0.000785761058901147     0.00041572999361493197     -0.0006352016389717159     0.0003630190319143173      
MWEBV         All|All|All               All                  All      -0.47928930674002723      -2.9532711265190414        0.10905617840157866        -0.800990593921172         
Redshift      All|All|All               All                  All      5.301194962499602         0.7004667245400498         5.281267279821256          -1.262929843851479         
