#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|DECam|DECam_z          7188.697500832755    All      0.5842094282334428         -0.02332907253723704      0.5885251991417795         -0.17163210048477395      
Zeropoint     AB|DECam|DECam_i          6134.470754725739    All      1.088066977753171          0.03533817757350732       -0.02207566638262943       -0.34389353956810553      
Zeropoint     AB|DECam|DECam_r          5049.466210015425    All      -0.06236209687838251       0.5408008560547017        -0.8193392547386692        0.15990666939214546       
Zeropoint     AB|DECam|DECam_g          3799.235491377709    All      -0.6154045203934317        0.4466142598797518        0.2552769576493479         0.357326294290275         
Check         All|All|All               All                  All      0.9945097887147994         0.9994242209707238        0.00238723566982868        0.0017073236295410132     
Lambda        AB|DECam|DECam_z          7188.697500832755    All      -0.00022169469682770983    3.210996656247624e-07     -0.0003441143008258801     5.696160823458925e-05     
Lambda        AB|DECam|DECam_i          6134.470754725739    All      -0.0001994232817217655     -3.502670369545038e-05    -0.0005458218499055768     2.919185165773651e-05     
Lambda        AB|DECam|DECam_r          5049.466210015425    All      -0.00026557565868640294    -8.410281090334735e-05    -0.00227775505246404       -4.253406983860518e-05    
Lambda        AB|DECam|DECam_g          3799.235491377709    All      -0.0008240418511943306     0.0005274621953186487     -0.00019996369833495374    0.00043130586965507836    
MWEBV         All|All|All               All                  All      -0.4725458977667376        -2.9586100065744247       0.0879523563625851         -0.8058679596045646       
Redshift      All|All|All               All                  All      5.033075793702625          0.09262063891668504       3.5361606628692255         -1.4514661706751975       
