#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7138.7954920357915    All      0.5865966595285323         -0.13811006043358276      0.16084239514929655        -0.22888316346145327      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4144.872198064731     All      -0.6725519524891115        0.2591734923219846        -0.11861589577468745       0.2982003475863075        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4462.783569360157     All      -0.7454929347190166        0.4664882267509718        -0.22656318864189284       0.38467166274464143       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5194.289702966771     All      0.5377126656249376         0.338972887997091         0.7129457164299469         -0.032920591034835134     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    5882.9287375221575    All      1.2782077227761686         0.0357504802251718        -0.38240864207569336       -0.4217743408844843       
Check         All|All|All                      All                   All      0.9844721607215102         0.9622750268616365        0.14620038508696975        -0.0007060850498237792    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7138.7954920357915    All      -0.00024428569220855784    -7.345917952487315e-07    -0.0008345442840526874     4.209072752380813e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4144.872198064731     All      -0.00046696234923016954    0.00018663737372065335    -0.00015626671589249796    0.0002059254667340556     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4462.783569360157     All      -0.00044814758838302186    0.00031244992765155466    -0.0009432855958596259     0.00020565713009830874    
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5194.289702966771     All      9.277524024240154e-05      0.00022657656728816578    -0.0028513410556679896     -8.365876142695452e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    5882.9287375221575    All      -0.00051049608000817       -5.568216862005912e-05    -0.0020254390217754794     5.7761812835462626e-05    
MWEBV         All|All|All                      All                   All      -0.790617932059301         -3.848884447412182        0.026672291329110642       -0.9949877561696393       
Redshift      All|All|All                      All                   All      8.024770901273985          -0.7557493763848733       36.64233568521398          -1.2249251754998511       
