#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7138.7954920357915    All      0.5526510000989238         -0.13384372496272334       0.057082234312120644       -0.22106659901006076       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4144.872198064731     All      -0.5254775425094956        0.2010753138800503         -0.15588527565309537       0.229705724307841          
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4462.783569360157     All      -0.787889118823306         0.6415480440332466         -0.14193915419907802       0.45928061847924395        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5194.289702966771     All      0.40573462817880646        0.3721261142827892         0.2268922729929699         -0.0008222385980391979     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    5882.9287375221575    All      1.3533469366816502         -0.08319618001015883       0.012550704876286909       -0.46736927365594716       
Check         All|All|All                      All                   All      0.9983659036265788         0.9977095672232039         -0.0012992176707959293     -0.0002717684769621975     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7138.7954920357915    All      -0.00019352156329219042    -0.00011627939707516754    -0.0005295129170987132     1.5305852034199244e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4144.872198064731     All      -0.00044922430066722844    0.0001974064418962782      -0.00022362454048755983    0.00020064957020088307     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4462.783569360157     All      -0.0005176439026643811     0.0005106646672229183      -0.000703400787495623      0.0003035643850164166      
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5194.289702966771     All      0.000172026890041404       0.0002877544412519438      -0.0013442189923094099     -2.2290049099625192e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    5882.9287375221575    All      -0.00027528237365567645    -9.667897631600032e-05     -0.0011521707514837475     6.760913480912945e-06      
MWEBV         All|All|All                      All                   All      -0.7798874806463818        -3.8457621008640253        0.006804500899630624       -0.9983525744607148        
Redshift      All|All|All                      All                   All      5.051011531444747          -0.05157749302080461       19.89049806931797          -0.7744595403807782        
