#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            6752.993072181958    All      0.15313833664219778        0.022319684280702745       0.28019244359552276       -0.030108236999644433      
Zeropoint     AB|SDSS|SDSS_g            3584.464714305085    All      -1.1781089585239517        0.3228699049135031         -0.9184458273275881       0.44793217755491055        
Zeropoint     AB|SDSS|SDSS_r            4683.823829699203    All      1.00639307151459           0.5337483256930398         3.277958847302216         -0.0076756950296894        
Zeropoint     AB|SDSS|SDSS_i            5679.955042541145    All      1.0164200491318778         0.12017468412217625        -2.6173848958636308       -0.40873846766873584       
Check         All|All|All               All                  All      0.9978424987647135         0.9991125990094218         0.02232056770651969       0.001409777856840877       
Lambda        AB|SDSS|SDSS_z            6752.993072181958    All      -6.07012105921759e-06      5.219201000264728e-06      0.00016429421366798532    1.100899978240922e-05      
Lambda        AB|SDSS|SDSS_g            3584.464714305085    All      -0.0022600146204506378     0.0005533244520576784      -0.0034896775039995483    0.0007606688125278104      
Lambda        AB|SDSS|SDSS_r            4683.823829699203    All      -0.00015301963869571904    -6.461005975101094e-05     -0.0008717034035078433    -1.0102210858588413e-05    
Lambda        AB|SDSS|SDSS_i            5679.955042541145    All      -8.158387858899371e-05     -2.7429859671209132e-05    -0.0002938580165037362    4.526211940316845e-06      
MWEBV         All|All|All               All                  All      -0.59592199390779          -2.803520859214359         -0.1747432269470231       -0.7268855659277886        
Redshift      All|All|All               All                  All      8.433982817155             -0.2352867276124826        8.88791631349711          -2.427239416878951         
