#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            6752.993072181958    All      0.07266834550182252        0.014461537540100267       0.2168656055083074         -0.009282156354099071      
Zeropoint     AB|SDSS|SDSS_g            3584.464714305085    All      -1.2891909049841057        0.2540040512140962         -2.6374888732532504        0.3849703519747579         
Zeropoint     AB|SDSS|SDSS_r            4683.823829699203    All      1.3598585684959865         0.6502226683842594         6.8036122939142825         0.07246220982232235        
Zeropoint     AB|SDSS|SDSS_i            5679.955042541145    All      0.8700107034735051         0.08567770483765003        -4.188455742964089         -0.4423946043719659        
Check         All|All|All               All                  All      1.0133467124872084         1.0043659619761058         0.1945332832052502         0.0057558010710151986      
Lambda        AB|SDSS|SDSS_z            6752.993072181958    All      -3.602365213215149e-05     -7.124608039154858e-06     -0.00011041687447119734    4.4859714301115956e-06     
Lambda        AB|SDSS|SDSS_g            3584.464714305085    All      -0.002251331873323647      0.0003283360340351864      -0.006985315401397536      0.0005285601620089157      
Lambda        AB|SDSS|SDSS_r            4683.823829699203    All      -0.00024478753319107826    -0.00011107619307014753    -0.0013072709245683023     -1.4783314835481017e-05    
Lambda        AB|SDSS|SDSS_i            5679.955042541145    All      -0.0001022697420065404     -8.75750161167756e-06      0.0005851199236005836      5.657122798962306e-05      
MWEBV         All|All|All               All                  All      -0.6300715725864174        -2.797828317183715         -0.2083060370007406        -0.7154054305102276        
Redshift      All|All|All               All                  All      7.968017560556198          0.1746433481949694         6.802776775342719          -2.2349816919020444        
