#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|MEGACAMPSF|r           3972.9450599919614    All      -1.4105726045509177        0.38371078387271496       -1.673528369808933        0.5097752448729019        
Zeropoint     AB|MEGACAMPSF|g           3116.781166333149     All      -0.2611790289499041        0.05124455219398527       0.4126657547281479        0.12018201613734386       
Zeropoint     AB|MEGACAMPSF|i           4857.949821510686     All      1.8200199726709918         0.4529874910456755        1.078871385673715         -0.397142378432579        
Zeropoint     AB|MEGACAMPSF|z           5595.478038610391     All      0.8408082382731996         0.11297742005496048       0.21221340614093182       -0.22760833276121548      
Check         All|All|All               All                   All      0.98907657744337           1.0009202471673362        0.030222176733862016      0.0052065498164512725     
Lambda        AB|MEGACAMPSF|r           3972.9450599919614    All      -0.0011462725253982321     0.00023263749147816494    -0.0020922663588037373    0.00035578811912712874    
Lambda        AB|MEGACAMPSF|g           3116.781166333149     All      -0.0009088396646641653     0.00011635075406887567    0.000714478181899547      0.00036582212692289214    
Lambda        AB|MEGACAMPSF|i           4857.949821510686     All      -4.795364494165418e-05     -7.289589206773174e-05    -0.0005994633583825871    -3.487580691351531e-05    
Lambda        AB|MEGACAMPSF|z           5595.478038610391     All      -0.00014132427264128592    -3.125820341510855e-05    -0.0002935567962876128    2.2752048252369512e-05    
MWEBV         All|All|All               All                   All      -0.2591873857734419        -2.1599659664794046       0.44401824740198925       -0.5993316224142965       
Redshift      All|All|All               All                   All      2.3155036064656453         0.2672906870913039        -0.5957498481087701       -0.6937559115847698       
