#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|MEGACAMPSF|r           3972.9450599919614    All      -1.1811274110655687       0.3576237655661174         -1.9968600054303731        0.41211119084290715        
Zeropoint     AB|MEGACAMPSF|g           3116.781166333149     All      -0.22643982895459558      0.03919293770255905        0.2939715529029885         0.09964393140223585        
Zeropoint     AB|MEGACAMPSF|i           4857.949821510686     All      1.6539882026408268        0.46370472512613503        1.1166684712070023         -0.3378827025926165        
Zeropoint     AB|MEGACAMPSF|z           5595.478038610391     All      0.7455457554097097        0.13856740449611493        0.6019543293549534         -0.17085036084428865       
Check         All|All|All               All                   All      0.9919667180303724        0.9990888328909264         0.015734348034571077       0.003022058808237832       
Lambda        AB|MEGACAMPSF|r           3972.9450599919614    All      -0.0011625627487560717    0.00015314081829296403     -0.002733014454608795      0.00030660605432170383     
Lambda        AB|MEGACAMPSF|g           3116.781166333149     All      -0.0009339782854259081    7.119932004050891e-05      0.00011146185568527704     0.0003323934461548208      
Lambda        AB|MEGACAMPSF|i           4857.949821510686     All      -2.903506958832084e-05    -4.777004821719878e-05     -0.00016366341986592383    -1.3406145651631762e-05    
Lambda        AB|MEGACAMPSF|z           5595.478038610391     All      -9.202559475538177e-05    -2.4381159985529635e-05    -0.00020351473828952393    1.2952089779865585e-05     
MWEBV         All|All|All               All                   All      -0.32311058485494826      -2.13752627053978          0.6620946187736287         -0.5614686393852916        
Redshift      All|All|All               All                   All      1.893571096538986         0.3073450879238493         -0.9941245604506599        -0.5610492095755301        
