#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3518.9817987370457    All      -0.35438391116654294      0.14040248355469132        -0.027004201139037287      0.15996313327856226        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5260.14742289446      All      0.593286575676829         0.20752308816476273        -0.04903140421327612       -0.1278439055013958        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7444.741917018441     All      0.40542899244420033       -0.052186680099275407      0.10863829327527746        -0.14421245158461327       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4703.921238422043     All      -0.34585745104083293      0.459101052845412          0.05712403477100003        0.26475065037455114        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4306.017957274808     All      -0.5727517758174036       0.34975241503252263        -0.06671307213920591       0.297512866438715          
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6089.005770357001     All      1.1712138003011991        -0.07553639253261579       -0.014289721939157729      -0.4067452393288207        
Check         All|All|All                              All                   All      0.8969362303974489        1.0290559669654975         0.008723928615600451       0.04342505367699867        
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3518.9817987370457    All      -0.0006431192830150759    0.00022454409223246184     -1.7455357130237385e-05    0.00028184755417612226     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5260.14742289446      All      0.00041438300162223863    8.739513376849922e-05      -0.000798041783446365      -0.00014212364566315683    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7444.741917018441     All      -6.3739393044847e-05      -2.0482194569422284e-06    -0.00021579752795091727    1.046479226665443e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4703.921238422043     All      -0.0001931737812731159    9.517011657457741e-05      -0.0010423396734223584     4.7408261429586384e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4306.017957274808     All      -0.000549293602269039     0.00024372293273929542     -0.0006665362207941693     0.0002285671246773724      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6089.005770357001     All      0.00010925739395447415    -2.787980347067466e-05     -0.0004710841695475666     -6.569241975673142e-05     
MWEBV         All|All|All                              All                   All      -1.0087626094453355       -3.941786850629292         0.007643119516875796       -0.9550414116645423        
Redshift      All|All|All                              All                   All      5.153553231762125         -0.6743649984564115        10.395587169183607         -1.4344373902411667        
