#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5353.119405644613    All      -0.7014319247095466        1.4262015581867793        0.7242705769693547        0.7253610918375009        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4360.013277974607    All      -0.5543984182782262        0.35634717917796266       0.06401754318143826       0.2995166126619042        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7806.443573999617    All      0.7287403664231209         -0.218062057332169        1.54494709149951          -0.23946080528334107      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6507.061364575018    All      1.5131031870787566         -0.564205913473792        -2.358257448800183        -0.781886114344682        
Check         All|All|All                                      All                  All      0.986013210514105          1.000280766558781         -0.025022237149880056     0.00353078487138192       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5353.119405644613    All      -0.00028478209774282243    0.0001878532365282866     -0.0008902050695881754    0.00011422711392101921    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4360.013277974607    All      -0.0004901384118154298     0.0003142233888753036     4.61950804161933e-05      0.00026406857547483777    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7806.443573999617    All      7.847603589610096e-06      -4.868004533696846e-06    -8.967685723198077e-06    -4.542078523578202e-06    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6507.061364575018    All      -0.00046999865653638543    7.050148011448003e-05     -0.0003244668603993019    0.000161579210676274      
MWEBV         All|All|All                                      All                  All      -0.7357510793494644        -4.1030586645493194       0.3329146891157875        -1.0819864080752417       
Redshift      All|All|All                                      All                  All      6.444283829161449          -2.0737151059278425       -7.886711049135481        -3.126540178769008        
