#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5353.119405644613    All      -0.8327964250004742        1.5314020350624347        0.7993078238479504         0.805766655351817          
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4360.013277974607    All      -0.47348890900648366       0.3138231998163654        0.04170977705045246        0.25831477142630654        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7806.443573999617    All      0.7847355378685554         -0.24470815782526856      1.6036126836281641         -0.2637618104354285        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6507.061364575018    All      1.5085578963516735         -0.6011580768263691       -2.47486350723181          -0.797645691748795         
Check         All|All|All                                      All                  All      0.9870081002132706         0.9993590002271624        -0.03023322270524309       0.0026739245939001455      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5353.119405644613    All      -0.00040722966096084915    0.00034454079491558193    -0.0007330736985998284     0.0002121626577095292      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4360.013277974607    All      -0.00047874340812547716    0.000317407094986838      4.4248015938561235e-05     0.00026130699716478764     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7806.443573999617    All      1.0260665269776237e-05     -3.264308785281919e-06    1.80190866572578e-05       -3.6014199293204683e-06    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6507.061364575018    All      -0.00041224572119029964    5.599506596039814e-05     -0.00022404109772727087    0.00014252350383129044     
MWEBV         All|All|All                                      All                  All      -0.7283662080677806        -4.108371598093363        0.3295696023366981         -1.0862717767118746        
Redshift      All|All|All                                      All                  All      6.5494895322082005         -2.84706854738781         -9.14149263124443          -3.4687109348783385        
