#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                   ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6132.083580452735    All      1.3029633324002885         -0.30931702945258266     -0.27555283409767545      -0.537469413721255        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4288.954621466345    All      -1.0184440790885716        0.537961123634112        0.7444393191627641        0.5401932864651409        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5309.624439187459    All      0.18937761297667954        0.9591276506364821       -1.7631592185196319       0.1720512132646948        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7465.752611255496    All      0.5194884870236343         -0.19160711157271137     1.2236335660611222        -0.17702208470552833      
Check         All|All|All                                All                  All      0.9933853533120307         0.9961646332453          -0.07063916739342102      -0.0022469986969476663    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6132.083580452735    All      -0.00032446334677582256    0.0001480312389575532    -0.000812649735698923     0.00011764220584450271    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4288.954621466345    All      -0.0005414428921222353     0.0001681539032568374    -0.0003451752180200076    0.0002157354366483165     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5309.624439187459    All      -9.861423131884888e-05     0.0002584368949610401    -0.002987904230189401     -1.703314438308111e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7465.752611255496    All      -0.00020207638807880594    0.0001304165835485072    -0.0006981196154300875    7.715002746364532e-05     
MWEBV         All|All|All                                All                  All      -0.8510454563037939        -3.9988343361950562      0.20330547470702368       -1.0162658077708144       
Redshift      All|All|All                                All                  All      8.392351164447392          -2.194687811494589       14.81310926262091         -2.7875058654602336       
