#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6132.083580452735    All      1.309877512513943          -0.37531158143506715      -1.0072039076534978       -0.5938684134519673       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4288.954621466345    All      -0.8992945072853885        0.5808932454879567        0.756951701580022         0.515925125697006         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5309.624439187459    All      0.07004010693573215        0.942321004007951         -1.0985836754631495       0.2351058415419438        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7465.752611255496    All      0.5122019355314383         -0.1392022482844979       1.227498235774771         -0.1574061646627989       
Check         All|All|All                                All                  All      0.992825047695725          1.0087004197763427        -0.12133764576185424      -0.0002436108758163691    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6132.083580452735    All      -0.00021945760445668322    0.0001167214398448596     -0.0007094883171611148    7.784336965813358e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4288.954621466345    All      -0.0005891601691545808     0.0002883935895478565     2.729202241898376e-06     0.00028596992163178414    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5309.624439187459    All      -0.00013686500906167387    0.0003605383465422185     -0.0025962879404156027    4.6160230542982015e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7465.752611255496    All      -0.00021127617636755168    0.00010848186318736625    -0.0006560338183411674    7.487993695184952e-05     
MWEBV         All|All|All                                All                  All      -0.8359030971029773        -3.9932138012398255       0.2478279325682009        -1.017380546376223        
Redshift      All|All|All                                All                  All      7.864274321334774          -2.9328450967488706       10.73674778776873         -3.037845267478609        
