#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5439.030852745252    All      0.3107336591207116        0.5647946143843896         0.09380163865434542        0.08694194780433986        
Zeropoint     AB|CNIa02|SDSS_r                      6132.650443129691    All      1.2416085822981464        -0.166623353375428         -0.06101303612825034       -0.46143020248310906       
Zeropoint     AB|CNIa02|SDSS_i                      7436.910540427751    All      0.49410129346474785       -0.17278356669825357       0.03375688874241282        -0.2157199239105182        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4347.563647688112    All      -1.0498432284863877       0.7731241158075441         -0.06685372778088831       0.5908170630579642         
Check         All|All|All                           All                  All      0.9966003063972183        0.9985118101182522         -0.00030823651238041927    0.0006088844686767958      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5439.030852745252    All      9.409719618771973e-05     0.00014672460327544423     -0.0005997857312439147     -9.623204590453363e-06     
Lambda        AB|CNIa02|SDSS_r                      6132.650443129691    All      0.00013756162333176302    -1.9914045569674214e-05    -4.1326618253579534e-05    -5.3139223323184897e-05    
Lambda        AB|CNIa02|SDSS_i                      7436.910540427751    All      8.145550361452817e-05     -0.00011095570894775074    -0.00023854065195909503    -7.33196357917508e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4347.563647688112    All      -0.0007606742106681762    0.0005713038923140071      -9.872673583134464e-05     0.00042946336813462184     
MWEBV         All|All|All                           All                  All      -0.8860882959210565       -4.088133049088505         -0.0016384883393635943     -1.0430844384592641        
Redshift      All|All|All                           All                  All      5.220385721848575         -1.8444887793666709        -0.5991492752611843        -2.3279993328749278        
