#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5439.030852745252    All      -0.37696660335899734      0.8970542939008119         0.23043873369754664        0.4252739425981672         
Zeropoint     AB|CNIa02|SDSS_r                      6132.650443129691    All      1.2188023048315637        -0.08391120219526371       -0.030984958089597114      -0.42571936361078255       
Zeropoint     AB|CNIa02|SDSS_i                      7436.910540427751    All      0.8530833082227766        -0.3385838863803059        -0.06226615821320891       -0.3909438626313655        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4347.563647688112    All      -0.6697948501689248       0.5354601063438658         -0.13088112758072867       0.3867505674378602         
Check         All|All|All                           All                  All      1.0251241595264182        1.010019311669108          0.00630648981401194        -0.004638716206120663      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5439.030852745252    All      -0.0002775166941755637    0.0004999420773876449      4.889918094070282e-05      0.0002554260453915586      
Lambda        AB|CNIa02|SDSS_r                      6132.650443129691    All      0.0005283378456306829     8.040738883657976e-05      0.0005362428634997364      -0.00012197563012854701    
Lambda        AB|CNIa02|SDSS_i                      7436.910540427751    All      0.0003143071553404587     -0.00026376980996265463    -0.00025972765254136227    -0.00019988913801344626    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4347.563647688112    All      -0.0010700639241801538    0.000842355978218946       -0.00021206352000646792    0.0006134746580319914      
MWEBV         All|All|All                           All                  All      -0.7862268338293195       -4.143405860619431         -0.01239701500752588       -1.0940968787772454        
Redshift      All|All|All                           All                  All      7.681415961462225         -5.7342708184157765        -1.904241111181637         -4.454908082120484         
