#Format:      
#Parameter    MagSys|Instrument|Band       RestLamb             Phase    dmu/dP                    dmB/dP                   ds/dP                     dc/dP                     
Zeropoint     VEGAHST|ACSWF|F850LP_3pix    5547.596041732131    All      4.201292219701995         -0.6474614361199116      0.5809519357589734        -1.5534733682810837       
Zeropoint     VEGAHST|ACSWF|F775W          4763.253227553482    All      -3.201248415484393        1.649484756844899        -0.5819555743401525       1.5540733741513653        
Check         All|All|All                  All                  All      1.0000438042176016        1.0020233207249873       -0.0010036385811791337    0.0006000058702815281     
Lambda        VEGAHST|ACSWF|F850LP_3pix    5547.596041732131    All      -0.0008994418367403109    0.0004347368395852485    -0.004218712963260181     0.00024632410435143794    
Lambda        VEGAHST|ACSWF|F775W          4763.253227553482    All      -0.0012594178395962394    0.0003864055105403664    -0.001048878592712574     0.000489292176851786      
MWEBV         All|All|All                  All                  All      -0.1421483665344443       -2.102627289019132       0.019698397737914965      -0.6377134338744606       
Redshift      All|All|All                  All                  All      4.662779290879971         -0.4716916124394288      15.579117699092473        -0.9772416216754825       
