#Format:      
#Parameter    MagSys|Instrument|Band       RestLamb             Phase    dmu/dP                    dmB/dP                   ds/dP                    dc/dP                    
Zeropoint     VEGAHST|ACSWF|F850LP_3pix    5547.596041732131    All      4.018235380502892         -0.5410177874715316      -0.1979735639202125      -1.4939334026812683      
Zeropoint     VEGAHST|ACSWF|F775W          4763.253227553482    All      -3.020793332106079        1.5434406479240437       0.18485987666292877      1.4949706133983531       
Check         All|All|All                  All                  All      0.9974420483968136        1.002422860452512        -0.013113687257283735    0.0010372107170848466    
Lambda        VEGAHST|ACSWF|F850LP_3pix    5547.596041732131    All      -0.0016253632698768926    0.0007668871868788198    -0.006765599267587968    0.0004773170544287169    
Lambda        VEGAHST|ACSWF|F775W          4763.253227553482    All      -0.0013841333010902045    0.000456472516566592     -0.001947625486434116    0.0005126322886043396    
MWEBV         All|All|All                  All                  All      -0.1391725913973063       -2.1041347233843766      0.02930686714695402      -0.6387449808429764      
Redshift      All|All|All                  All                  All      6.231580675349241         -1.3491126704517242      21.415965744191595       -1.5135850289402986      
