#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4654.719947919046     All      -0.4562444093789549        0.41262328196989273        -0.09146022446270519       0.2789373422141554         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7445.8223806846445    All      0.24031293514377366        -0.03619787324113943       0.05997371916349305        -0.08739231558941843       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6135.943032222071     All      0.5963141591573726         -0.053731048251481894      -0.13102990783221588       -0.21758837289311667       
Zeropoint     AB|PS|PS_i                       7428.33191395418      All      0.2028028393186178         -0.026676486855414794      0.08872804002839983        -0.07078944126714717       
Zeropoint     AB|PS|PS_r                       6132.950998892393     All      0.567940657716369          -0.02467164544937006       0.1713602101506304         -0.18538630435671102       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5417.686858414331     All      0.36223471287313286        0.10695656950812094        -0.19820683898625724       -0.0919975505883157        
Zeropoint     AB|PS|PS_g                       4829.353420454214     All      -0.17576537373942325       0.30960252100324936        0.15591207078690505        0.16505793108810377        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4323.135774355532     All      -0.5149631791718667        0.3396259245749711         -0.09700766886055022       0.27403877951561645        
Zeropoint     AB|PS|PS_z                       8536.965932820582     All      0.17484023099668367        -0.030929051240580208      0.04274542995652688        -0.06511829261668393       
Check         All|All|All                      All                   All      0.9974725729157051         0.9966021920182477         0.0010148299442267125      -0.00023822449351736108    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4654.719947919046     All      -0.00012045644833106205    -2.8802667103831787e-05    -0.0007558431282140191     -3.875155484719988e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7445.8223806846445    All      -3.1961819587930923e-05    -1.6006112906817913e-06    -6.465268183540054e-05     7.004492145211485e-06      
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6135.943032222071     All      -6.823055770672931e-05     -3.2942842839535137e-06    -9.495890495072061e-05     1.691430079626289e-05      
Lambda        AB|PS|PS_i                       7428.33191395418      All      -2.639313737535465e-05     -7.645276714506998e-07     -5.006529419067768e-05     6.113897198625767e-06      
Lambda        AB|PS|PS_r                       6132.950998892393     All      -6.833392803903944e-05     -1.728115710427658e-06     -7.488186340959532e-05     1.83540706975561e-05       
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5417.686858414331     All      4.7539459883174084e-05     -2.1946622829886437e-05    -0.0006035411483442666     -4.956717265023617e-05     
Lambda        AB|PS|PS_g                       4829.353420454214     All      -7.375725996946558e-05     2.668976446671069e-06      -0.00046820142847747557    4.0008601676620555e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4323.135774355532     All      -0.00025831693294160323    6.826706508739111e-05      -0.0006335906019000821     7.810491386602055e-05      
Lambda        AB|PS|PS_z                       8536.965932820582     All      0.00018173770465573265     -3.321433073596858e-05     3.879276296364189e-05      -6.828580679663918e-05     
MWEBV         All|All|All                      All                   All      -0.7997044248397813        -4.058003071130223         0.03976510443634047        -1.0595605299617796        
Redshift      All|All|All                      All                   All      4.802114302203757          0.8728366970609969         3.9781080979097707         -1.1023702917684433        
