#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4654.719947919046     All      -0.6595091293340909        0.48407400462592287        -0.5016078949906633        0.35011819294667523        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7445.8223806846445    All      0.33470581736806954        -0.03853992226030556       0.2577983757541702         -0.11007405933226508       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6135.943032222071     All      0.8925640498824036         -0.12601770153908287       -0.2748738754141833        -0.34405194539193146       
Zeropoint     AB|PS|PS_i                       7428.33191395418      All      0.13685060484906936        -0.006967276726488336      0.19745990658145418        -0.038034486766742176      
Zeropoint     AB|PS|PS_r                       6132.950998892393     All      0.34479198609731915        -0.010155198319328207      0.3430227532892405         -0.10031044534723824       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5417.686858414331     All      0.6230573318732635         0.06315996578345473        -0.3674531021728433        -0.19877473651058256       
Zeropoint     AB|PS|PS_g                       4829.353420454214     All      -0.09114253094722105       0.14876761312476727        0.017557839776877193       0.0789301524825474         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4323.135774355532     All      -0.7086920610776128        0.4741986261187825         0.16059328099368164        0.3924729533200423         
Zeropoint     AB|PS|PS_z                       8536.965932820582     All      0.08300176932865744        -0.011992230438484519      0.04817632353522061        -0.028792782880396328      
Check         All|All|All                      All                   All      0.9556278380398576         0.9765278803692379         -0.11932639264704559       0.0014828425201091067      
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4654.719947919046     All      -0.0004096068933527149     0.000131979885179742       -0.0011582136779884635     0.00012472687447818808     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7445.8223806846445    All      -0.00010987869372316159    -1.0907052351237229e-05    -0.0003753392917525513     1.5488650945219817e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6135.943032222071     All      -0.00010143086437628615    -2.9246748497498175e-05    -0.0005541650033731663     -1.2170975841484784e-06    
Lambda        AB|PS|PS_i                       7428.33191395418      All      -6.680484255287185e-05     -3.6777389600200144e-06    -0.00022093726793733686    1.070315892033768e-05      
Lambda        AB|PS|PS_r                       6132.950998892393     All      -5.709533049093798e-05     -7.086717353588859e-06     -0.0001821281486483948     8.161907743491541e-06      
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5417.686858414331     All      0.0003053025329607508      -5.010872746919621e-05     -0.001391733417530649      -0.00017787581062920065    
Lambda        AB|PS|PS_g                       4829.353420454214     All      -6.65705032104723e-05      5.7019647104038476e-05     -0.00035224338624867526    2.453837341968803e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4323.135774355532     All      -0.0006002075413258209     0.00021771526133022387     -0.0007377187403309343     0.0002335033665246602      
Lambda        AB|PS|PS_z                       8536.965932820582     All      1.741098768226029e-06      -1.0659445299995908e-05    -0.00016426554637491306    -1.1369682059148219e-05    
MWEBV         All|All|All                      All                   All      -0.8996568249701631        -4.048093625307736         -0.11063146579219918       -1.0304864205703923        
Redshift      All|All|All                      All                   All      4.0099320959152225         -0.629654214304054         5.70092698197735           -1.2568597112991464        
