#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_g                            4836.956232014167    All      -0.5251934893630403        0.5764657744387947         -0.2942675767439562        0.34571485530550916        
Zeropoint     AB|CNIa02|SDSS_i                      7404.749931136038    All      0.23599875339431142        -0.03271723682134464       0.18438361998260877        -0.0793014443902406        
Zeropoint     AB|PS|PS_i                            7440.026276082945    All      0.2533421548331602         -0.030700372982206403      0.24441442372868938        -0.08161490285489778       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5415.509990791916    All      0.1852004920911316         0.1677859306032481         -0.2808546453334948        -0.01820574850116361       
Zeropoint     AB|PS|PS_z                            8550.405608410709    All      0.1975404881759207         -0.04112252202368438       0.08616516205857128        -0.07389523876142698       
Zeropoint     AB|PS|PS_r                            6142.6060534497      All      0.6551501692246474         -0.03974878863806097       0.026771450352336412       -0.2251567652001428        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4328.7627901164      All      -0.553248093295593         0.4471503962697021         0.18897530036594556        0.33429579990730607        
Zeropoint     AB|CNIa02|SDSS_r                      6106.130052202305    All      0.5479557110860305         -0.04955047626511444       -0.15202938741657457       -0.20141179590463051       
Check         All|All|All                           All                  All      0.9967461861465685         0.997562704581334          0.0035583469941258272      0.000424759600312935       
Lambda        AB|PS|PS_g                            4836.956232014167    All      -0.0002343448612290319     -0.00012514228176201676    -0.0021807940255895355     -6.174794854682452e-05     
Lambda        AB|CNIa02|SDSS_i                      7404.749931136038    All      -5.9712054078424166e-05    1.4112822738713932e-05     1.0517968284251463e-05     2.451655976289269e-05      
Lambda        AB|PS|PS_i                            7440.026276082945    All      -4.747880736104418e-05     7.823053487328232e-06      -2.7629316934870207e-05    1.6780665937555437e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5415.509990791916    All      1.179563257915188e-05      4.446445003924505e-06      -0.00018912339034937625    -1.0833580473319845e-05    
Lambda        AB|PS|PS_z                            8550.405608410709    All      0.00017317733466542834     -2.7111172873024992e-05    0.00016028368232045312     -5.8087831615814746e-05    
Lambda        AB|PS|PS_r                            6142.6060534497      All      -0.00015010995615539054    -1.0053634665101039e-05    -0.0002895039670136042     3.270171922131131e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4328.7627901164      All      -9.714236800513324e-05     6.931242768739364e-06      -0.0004735748592544289     1.276672803127552e-05      
Lambda        AB|CNIa02|SDSS_r                      6106.130052202305    All      -6.56477980676358e-05      -7.619921177981617e-06     -1.7726933661386583e-05    1.811051693095903e-05      
MWEBV         All|All|All                           All                  All      -0.8031981292349148        -4.0631649291284155        0.1204205079453291         -1.0565046222491827        
Redshift      All|All|All                           All                  All      4.706471752480998          1.0025753875849475         5.121721488717445          -0.9779219937921045        
