#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_g                            4836.956232014167    All      -0.5339312463206046        0.6761638237361645         0.07836823369206282        0.39766498960018953        
Zeropoint     AB|CNIa02|SDSS_i                      7404.749931136038    All      0.21771285479440045        -0.0301751757505464        0.1691578759840936         -0.07319654773131141       
Zeropoint     AB|PS|PS_i                            7440.026276082945    All      0.2779917184740197         -0.03850996076790736       0.21949102388572347        -0.09330013321484788       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5415.509990791916    All      0.12932677049756683        0.13153201389046743        -0.3371454207772398        -0.014326931352958065      
Zeropoint     AB|PS|PS_z                            8550.405608410709    All      0.23788328641441733        -0.05172007637428422       0.08463676240922802        -0.09055639294418154       
Zeropoint     AB|PS|PS_r                            6142.6060534497      All      0.7034748404776391         -0.03697490250642588       0.015959720677278265       -0.24047663232940647       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4328.7627901164      All      -0.507318519455688         0.392270249504989          -0.010176366533397525      0.2925715331418898         
Zeropoint     AB|CNIa02|SDSS_r                      6106.130052202305    All      0.47085900172726786        -0.0448977357058844        -0.2175680333197716        -0.17770799934787002       
Check         All|All|All                           All                  All      0.9959987066090183         0.9976882360265726         0.002723796017977287       0.0006718858215039591      
Lambda        AB|PS|PS_g                            4836.956232014167    All      -0.00018332947308153757    -0.00013207276344529887    -0.0020911502202044974     -7.662243339797311e-05     
Lambda        AB|CNIa02|SDSS_i                      7404.749931136038    All      -3.9909029825128194e-05    1.0889687907667716e-05     2.248633632323729e-05      1.7550275507843457e-05     
Lambda        AB|PS|PS_i                            7440.026276082945    All      -3.627957628876601e-05     6.109366422696342e-06      -1.60200631008031e-05      1.3092571357215744e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5415.509990791916    All      1.019427656060327e-05      3.100628784023701e-06      -0.00019944973451590427    -1.1211160066859432e-05    
Lambda        AB|PS|PS_z                            8550.405608410709    All      0.0002292844133930373      -3.679513164499721e-05     0.0002110102691349618      -7.725444239952599e-05     
Lambda        AB|PS|PS_r                            6142.6060534497      All      -0.00011490027426177552    -1.3806291163335808e-05    -0.0002432292134048436     2.207543350552969e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4328.7627901164      All      -0.00011608771669704493    2.7408564417070213e-05     -0.0004298817718986943     2.75578105420176e-05       
Lambda        AB|CNIa02|SDSS_r                      6106.130052202305    All      -4.6615362054002366e-05    -6.198224889770992e-07     -3.866933828714115e-05     1.3256625478725384e-05     
MWEBV         All|All|All                           All                  All      -0.7779691838433047        -4.073377529954669         0.09886355418655961        -1.0690110876833243        
Redshift      All|All|All                           All                  All      4.429041117848479          1.1946532532662424         6.0842318865585785         -0.7820352104637497        
