#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3644.8540042113323    All      -1.15790537313229          0.36795777075724345       -0.4583029833428398       0.47657186813406005       
Zeropoint     AB|SDSS|SDSS_z            6866.76416183542      All      0.08936762709300117        0.011392863547499132      0.10800922560356696       -0.02057899011003693      
Zeropoint     AB|SDSS|SDSS_r            4762.7345786299065    All      1.2141074090006547         0.5148099357345615        2.8650380521503926        -0.09993070362263497      
Zeropoint     AB|SDSS|SDSS_i            5775.648117813883     All      0.8519560326317865         0.10522013514293604       -2.496010965848239        -0.35462195433552424      
Check         All|All|All               All                   All      0.9975256955931525         0.9993807051822401        0.018733328562881013      0.0014402200658639175     
Lambda        AB|SDSS|SDSS_g            3644.8540042113323    All      -0.0019172914604742154     0.00045323583640427946    -0.0038641930848153315    0.0005997175388465128     
Lambda        AB|SDSS|SDSS_z            6866.76416183542      All      -0.00011890461540671457    -2.118298662844537e-05    -0.0003622097397623276    1.566739232274603e-05     
Lambda        AB|SDSS|SDSS_r            4762.7345786299065    All      -9.872048117539389e-05     -7.106732936832319e-05    -0.0007954356235738241    -2.648909727118671e-05    
Lambda        AB|SDSS|SDSS_i            5775.648117813883     All      -0.00017828466237927016    -5.623048625965743e-06    0.0007909528724080609     9.153816197824389e-05     
MWEBV         All|All|All               All                   All      -0.5983273188207701        -2.8596290609307573       0.09535560426723322       -0.7323250893568001       
Redshift      All|All|All               All                   All      6.619194409079261          -0.6333282872621027       10.478512625766445        -1.89477735068774         
