#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3644.8540042113323    All      -1.3193858262029208       0.3006314062915294         -2.453572326569271        0.4182012455226255        
Zeropoint     AB|SDSS|SDSS_z            6866.76416183542      All      0.1637364642800173        0.029023832644980985       0.603098809816395         -0.016966806088009847     
Zeropoint     AB|SDSS|SDSS_r            4762.7345786299065    All      1.4652474966763358        0.6355692052299133         6.231042003971996         0.007809271367342316      
Zeropoint     AB|SDSS|SDSS_i            5775.648117813883     All      0.7001485901315083        0.037650264232880204       -4.258171075168496        -0.405820118305118        
Check         All|All|All               All                   All      1.0097467248849405        1.002874708399304          0.12239741205062327       0.003223592496840011      
Lambda        AB|SDSS|SDSS_g            3644.8540042113323    All      -0.0022054255750261044    0.0003568594315017106      -0.006753773300218134     0.0005332306398690329     
Lambda        AB|SDSS|SDSS_z            6866.76416183542      All      -8.090086127729909e-05    -1.4069567489472422e-05    -0.000291734899055657     8.7503624160266e-06       
Lambda        AB|SDSS|SDSS_r            4762.7345786299065    All      -0.0001553992565233673    -6.629712334716945e-05     -0.0008878509458679911    -1.059721381358858e-05    
Lambda        AB|SDSS|SDSS_i            5775.648117813883     All      -9.490150851699009e-05    -4.220828176191949e-06     0.0005982606052130601     5.6235303991852564e-05    
MWEBV         All|All|All               All                   All      -0.6002116038997576       -2.8631947495041388        0.01088967674665953       -0.7366421041987261       
Redshift      All|All|All               All                   All      5.388397167232096         -0.5805531423273891        9.045674166756648         -1.5406165956722557       
