#Format:      
#Parameter    MagSys|Instrument|Band                          RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_I    7881.098183638172     All      0.10197573343988629        -0.012135218582942642      0.07641127521152809        -0.03375980694425068       
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_R          6528.0668526976015    All      0.2728155710529942         -0.01654439998990398       0.013353789521491572       -0.0936581439343498        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5384.920708700808     All      0.2255010006343614         0.13038975722765578        0.22034128582510085        -0.02114804144907714       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I                  7947.863317869863     All      0.13227594096226827        -0.019964424874263642      0.05700915439948687        -0.047045638984951864      
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_B          4366.229724277224     All      -0.23961797508054483       0.1409427742738778         -0.30662594861497566       0.11027784833686351        
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_V          5462.383096598398     All      0.13216697737932737        0.05782357433545826        -0.5468901562289281        -0.048621288093561005      
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_I          7932.8955829861725    All      0.09644704864361783        -0.011385141711883762      0.06333497222295079        -0.03229814304917177       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4371.938445756095     All      -0.2504322084420211        0.23592275423620634        0.21952429300251672        0.16821817290539812        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6537.027952088291     All      0.3278631521724971         -0.009532339927043054      0.19048628296034217        -0.10140028382214113       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3633.1033335144166    All      -0.18929496141485663       0.10865250415514893        0.04957783466709847        0.09926372277504823        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R                  6411.495558167957     All      0.44004910728147884        -0.03051516111396424       0.03247551956047734        -0.15182903003767353       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V                  5404.491415942471     All      0.29257511270893205        0.1356346437293432         -0.08093834275448646       -0.054732580435489744      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B                  4407.583534140129     All      -0.3465854845256985        0.2873271929563437         0.013429675004163167       0.20708551887870116        
Check         All|All|All                                     All                   All      0.9957390148122425         0.9966165147140327         0.0014896347767657612      0.00035230614534434435     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_I    7881.098183638172     All      6.942600344570754e-06      -4.0301488463088887e-07    1.3578953042448007e-05     -1.7867422353049727e-06    
Lambda        Linear_AB11_off|Krisciunas|Bessell12_R          6528.0668526976015    All      -5.1644675167993713e-05    1.338494964322005e-06      -2.1995171019123327e-05    1.6276818144200596e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5384.920708700808     All      4.322370698828751e-05      1.8983856085109826e-05     3.913990142588965e-05      -6.1490828690002614e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_I                  7947.863317869863     All      2.589976318906957e-05      2.197504962723145e-06      8.576213818459484e-05      -3.893434949529945e-06     
Lambda        Linear_AB11_off|Krisciunas|Bessell12_B          4366.229724277224     All      -8.840163654896162e-05     2.0269998116227434e-06     -0.00040817003578327876    1.1240827836571719e-05     
Lambda        Linear_AB11_off|Krisciunas|Bessell12_V          5462.383096598398     All      2.2943644382215705e-05     -8.047072682007402e-06     -0.00025700656408607196    -2.1563718678832235e-05    
Lambda        Linear_AB11_off|Krisciunas|Bessell12_I          7932.8955829861725    All      2.1433136047363136e-06     3.20774269902169e-07       1.0319161601854803e-05     -1.3316423302281323e-07    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4371.938445756095     All      -7.719668979930143e-05     2.772764523765925e-05      -0.00020047324154505455    2.5231107799768145e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6537.027952088291     All      -9.258315637861441e-05     2.3094670322651094e-06     -7.680402899795895e-05     2.748223825347203e-05      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3633.1033335144166    All      -0.00029464590269893086    0.0001554685187436605      -1.8126420939948139e-06    0.00014653618549697526     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_R                  6411.495558167957     All      -0.00015572437540697465    -1.2107368792861104e-05    -0.0003356546651051835     3.1802057815864304e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_V                  5404.491415942471     All      -3.6935761832727313e-06    -2.9487893762572765e-05    -0.0008146414816383338     -4.475576565594521e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B                  4407.583534140129     All      -0.0001769952567180226     1.2554282614439918e-05     -0.000783278148890443      2.678841463663577e-05      
MWEBV         All|All|All                                     All                   All      -0.9616917364765838        -4.032409727064978         0.09326280284484752        -0.9960719826054235        
Redshift      All|All|All                                     All                   All      3.916567866560233          -0.13537884762762076       0.9663063956172984         -1.2767305335466723        
