#Format:      
#Parameter    MagSys|Instrument|Band                          RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_I    7881.098183638172     All      0.0955679591643188         -0.012492611458947422      0.08544961167462062        -0.031385659226007556      
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_R          6528.0668526976015    All      0.24786163400512837        -0.01904570298774111       0.05204857400228635        -0.084617811841875         
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5384.920708700808     All      0.16634850865888118        0.13551707307555283        0.16291183988750013        -0.002772805706430237      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I                  7947.863317869863     All      0.11426979278944842        -0.01908967452384225       0.06573559573449517        -0.040506088175135124      
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_B          4366.229724277224     All      -0.20056444820876848       0.13896047386343646        -0.22390925857539712       0.10060239532487802        
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_V          5462.383096598398     All      0.09173585512236523        0.06094863499688241        -0.6231180196034913        -0.03783530580168115       
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_I          7932.8955829861725    All      0.09928770692948524        -0.012709038481562018      0.08421510278772137        -0.03272289131242001       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4371.938445756095     All      -0.20936571260784295       0.2143484900404502         0.15931230554140363        0.1451270320871223         
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6537.027952088291     All      0.31607872032647           -0.014809391963188645      0.22580088298023437        -0.0977046877268295        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3633.1033335144166    All      -0.17436106344235974       0.11738295404946086        0.04712491727359991        0.09713359321117387        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R                  6411.495558167957     All      0.42844274467423055        -0.03789395639350879       0.08937388930179702        -0.14791285935941145       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V                  5404.491415942471     All      0.22187341297429714        0.1514770598321391         -0.22515328250825029       -0.03297796509634798       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B                  4407.583534140129     All      -0.3470281087960178        0.3387088162379204         0.12206278626251954        0.22881417809508253        
Check         All|All|All                                     All                   All      0.850147001589636          1.041303126287052          0.021854944759039374       0.06324112447211871        
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_I    7881.098183638172     All      1.3295261491222536e-05     2.653507047561812e-06      3.309266858627361e-05      -1.989595715746332e-06     
Lambda        Linear_AB11_off|Krisciunas|Bessell12_R          6528.0668526976015    All      5.802836532530628e-05      -6.148267966552094e-06     1.5331853101817598e-05     -2.0220250624400447e-05    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5384.920708700808     All      9.374135773531458e-05      0.0001392479070923499      0.00015005056031539994     2.1519047596171052e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_I                  7947.863317869863     All      3.682674917759534e-05      3.929790973546191e-06      0.00010455179903801853     -6.049954962814533e-06     
Lambda        Linear_AB11_off|Krisciunas|Bessell12_B          4366.229724277224     All      -0.00026576997497883937    0.00015152458353998098     -0.00043838080753465664    0.00011636364426272716     
Lambda        Linear_AB11_off|Krisciunas|Bessell12_V          5462.383096598398     All      3.053840873990556e-05      5.434653121845703e-05      -0.0006891028571899134     -2.2996406826210647e-05    
Lambda        Linear_AB11_off|Krisciunas|Bessell12_I          7932.8955829861725    All      4.363409863973827e-08      6.7695774148523845e-06     3.1442311943033024e-05     3.5939869877551046e-06     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4371.938445756095     All      -0.00031726327389012095    0.00027160477132628805     -5.8293906731716334e-05    0.00018921230618702408     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6537.027952088291     All      1.1824583367924482e-05     -3.7799356723813927e-07    -1.0555293271267014e-05    -4.4458150206274275e-06    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3633.1033335144166    All      -0.0008400204465852942     0.0005161491725508975      -2.6546680992982822e-05    0.000440564405159659       
Lambda        Linear_AB11_off|LOSS|LOSS_K2_R                  6411.495558167957     All      8.35647644149666e-06       -3.506396930026456e-05     -0.0004212081522186206     -3.294005296277272e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_V                  5404.491415942471     All      9.307470501576358e-05      0.00012211616474157918     -0.000848019351141422      -2.8383449961094215e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B                  4407.583534140129     All      -0.0005268624545891378     0.0003975460637259787      -0.0004661184455963545     0.0002803095411297772      
MWEBV         All|All|All                                     All                   All      -0.9306141670305865        -4.053212386264704         0.062366551141068705       -1.014349837696349         
Redshift      All|All|All                                     All                   All      3.5313065409604025         -5.44619194107705          1.5923415449587308         -2.8532077167355396        
